source_id,corpus,folder_name,notes
B0040,book,"Beckert, Sven：Empire of Cotton：A Global History, 2014",replacement_characters=8
B0056,book,"BUCHANAN, RICHARD. Branzi",replacement_characters=6
B0078,book,Chris Calori：《Signage and Wayfinding Design A Complete Guide to Creating Environ,replacement_characters=10
B0129,book,Donald A_ Schon：《The Reflective Practitioner，1983》,replacement_characters=6
B0151,book,"Ezio Manzini：《Design, When Everybody Designs An Introduction to Design for Social Innovation》，2015",replacement_characters=14
B0153,book,FALLMAN D. Design-oriented human-computer interaction[C],replacement_characters=21
B0158,book,Frank Whitford：《Bauhaus》,replacement_characters=3
B0245,book,K. Michael Hays：《Architecture theory since 1968》,missing_special_entity_index
B0251,book,Kate Fletcher：《Sustainable Fashion and Textiles Design Journeys》，2008,replacement_characters=6
B0262,book,"Kirk Varnedoe, James Leggio：《Vienna 1900 Art, Architecture and Design》，1986",replacement_characters=20
B0332,book,Owen Jones：《The Grammar of Ornament》,replacement_characters=7
B0353,book,Pierre Bourdieu：《Distinction A Social Critique of the Judgement of Taste》，1979,replacement_characters=1
P0054,paper,Regine M. Gilbert：《Inclusive Design for a Digital World Designing with Accessibility in Mind》,replacement_characters=4
