section_id,chapter_id,chapter_title,section_title,rank,source_id,corpus,folder_name,similarity_score,mapping_grade,status
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,1,B0180,book,Guy Julier：《The Culture of Design》，2000,0.357255,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,2,B0242,book,Julier：《The culture of design，2018》,0.336181,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,3,B0198,book,James J. Gibson：《The Ecological Approach To Visual Perception》,0.328569,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,4,B0059,book,"Buchanan, Richard; Margolin, Victor (eds.), The Idea of Design, 1995",0.32243,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,5,B0032,book,"Arturo Escobar：《Designs for the Pluriverse Radical Interdependence, Autonomy, and the Making of Worlds》，2018",0.317838,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,6,B0135,book,"Edgar Kaufmann, Jr：《Nineteenth-Century Design》",0.311735,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,7,B0299,book,Massimo Vignelli：《The Vignelli Canon》,0.305985,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,8,B0138,book,"Edward Steinfeld, Jordana Maisel：《Universal Design Creating Inclusive Environments》，2012",0.303006,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,9,B0226,book,John Heskett：《Toothpicks and Logos Design in Everyday Life》,0.301897,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,10,B0107,book,Design Anthropology in Context _ An Introduction to Design -- Adam Drazin -- Lon,0.301442,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,11,B0151,book,"Ezio Manzini：《Design, When Everybody Designs An Introduction to Design for Social Innovation》，2015",0.300037,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,12,B0108,book,"Design discourse _ history, theory, criticism -- Margolin, Victor, 1941- -- Chic",0.299264,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,13,B0460,book,"Wolfgang F. E. Preiser, Elaine Ostroff：《Universal Design Handbook》，2001",0.29848,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,14,B0099,book,"David Crowley, Susan E. Reid：《Socialist Spaces Sites of Everyday Life in the Eastern Bloc》，2002",0.29824,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,15,B0033,book,Arturo Escobar：《Designs for the Pluriverse，2018》,0.296621,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,16,B0106,book,Design and the Creation of Value -- John Heskett; Clive Dilnot; Suzan Boztepe --,0.296304,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,17,B0234,book,Jonathan M. Woodham：《Dictionary of Modern Design》,0.295126,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,18,B0084,book,"Clive Dilnot：《A John Heskett Reader Design, History, Economics》",0.294845,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,19,B0441,book,Walker：《Sustainable by design explorations in theory and practice》,0.294278,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,20,B0130,book,Donald Quataert：《Ottoman Manufacturing in the Age of the Industrial Revolution》,0.292515,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,21,B0093,book,"CROSS, NIGEL. From a Design Science to a Design Discipline Understanding Designe",0.290329,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,22,B0065,book,Carl DiSalvo：《Adversarial Design》,0.288743,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,23,B0105,book,"Design and Creativity Policy, Management and Practice (Guy Julier Liz Moor (edit",0.287837,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,24,B0089,book,Craig Clunas：《Superfluous Things Material Culture and Social Status in Early Modern China》,0.287469,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,25,B0380,book,Rudolf Arnheim：《The Dynamics of Architectural Form Based on the 1975 Mary Duke Biddle Lectures at the Cooper Union》，1975,0.284681,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,26,B0222,book,John E. Bowlt (ed.)：《Russian Art of the Avant-Garde Theory and Criticism 1902-1934》，1976,0.2817,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,27,B0237,book,Josef Albers：《Interaction of Color》，1963,0.280868,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,28,B0061,book,By Edgar Kaufmann：《Introduction To Modern Design》,0.280846,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,29,B0022,book,Anne Massey：《Interior Design of the 20th Century》，1990,0.279623,UNREVIEWED,candidate_needs_review
0.1,CH00,导论　设计史的对象、证据、时间与叙事,“设计”是对象、活动还是制度,30,B0058,book,"Buchanan, Richard; Margolin, Victor (eds.), Discovering Design, 1995",0.278091,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,1,B0313,book,Mike Davis：《Late Victorian Holocausts El Nino Famines and the Making of the Third World》,0.349973,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,2,B0165,book,"Geoffrey Alan Jellicoe, Susan Jellicoe：《The Landscape of Man》，1975",0.330827,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,3,P0031,paper,"Frampton, Kenneth：Towards a Critical Regionalism：Six Points for an Architecture of Resistance, 1983",0.316398,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,4,B0038,book,"Bauer, Arnold J：《Goods, power, history Latin Americas material culture》",0.314381,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,5,B0337,book,Paul Greenhalgh (ed.)：《Modernism in Design》，1990,0.308041,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,6,B0339,book,"Paul Greenhalgh：《Ephemeral Vistas The Expositions Universelles, Great Exhibition",0.305132,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,7,B0143,book,Elizabeth Wilson：《Adorned in Dreams Fashion and Modernity》,0.303695,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,8,B0146,book,Ellen Lupton：《Thinking with Type》，2004,0.293385,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,9,B0030,book,Arthur A. Cohen：《Herbert Bayer The Complete Work》，1984,0.291359,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,10,B0394,book,Sharon Zukin：《Landscapes of Power From Detroit to Disney World》,0.280233,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,11,B0272,book,"Lears, T. J. Jackson：《No place of grace antimodernism and the transformation of American culture, 1880-1920》",0.279886,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,12,B0180,book,Guy Julier：《The Culture of Design》，2000,0.279805,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,13,B0197,book,"James H. Fraser, Steven Heller：《Japanese Modern Graphic Design Between the Wars》，1996",0.278833,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,14,B0211,book,"Joanne Entwistle：《The Fashioned Body Fashion, Dress and Modern Social Theory》，2000",0.278529,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,15,B0221,book,John Clifford：《Graphic Icons Visionaries Who Shaped Modern Graphic Design》，2014,0.278262,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,16,B0506,book,维克多·马格林：《世界设计史1：史前至一战》，2015,0.276499,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,17,B0238,book,Judith Gura：《Postmodern Design Complete》，2017,0.27643,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,18,B0044,book,Bevis Hillier：《Art Deco of the 20s and 30s》,0.275329,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,19,B0115,book,"Design, History and Time _ New Temporalities in a Digital -- Hendon, Zoë (editor",0.275197,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,20,B0488,book,"李砚祖, 王春雨：《室内设计史》，2013",0.274794,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,21,B0054,book,"Bringing design to software (Terry Winograd, (ed.))",0.273769,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,22,B0100,book,David Crowley：《Warsaw》,0.272207,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,23,B0153,book,FALLMAN D. Design-oriented human-computer interaction[C],0.271884,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,24,B0075,book,"Charlotte Fiell, Peter Fiell：《Design of the 20th Century》，1999",0.271276,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,25,B0297,book,Mary Warner Marien：《Photography A Cultural History》,0.271118,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,26,B0005,book,"Adamson, Glenn; Riello, Giorgio; Teasley, Sarah (eds.), Global Design History, 2011",0.269708,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,27,B0424,book,Theory Culture：《and Society 23 2 3 Problematizing Global Knowledge，2006》,0.266359,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,28,B0320,book,"Muthesius, Hermann：The English House, 1979",0.265733,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,29,B0311,book,"Mihaly Csikszentmihalyi, Eugene Halton：《The Meaning of Things Domestic Symbols and the Self》",0.265274,UNREVIEWED,candidate_needs_review
0.2,CH00,导论　设计史的对象、证据、时间与叙事,现代性、现代化、现代主义与当代性,30,B0190,book,"Hobsbawm, Eric：《Age of Revolution 1789-1848》",0.264394,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,1,B0169,book,Giorgio Riello：《Cotton The Fabric That Made the Modern World》,0.444437,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,2,B0209,book,Jeremy Prestholdt：《Domesticating the World African Consumerism and the Genealogies of Globalization》,0.42842,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,3,B0005,book,"Adamson, Glenn; Riello, Giorgio; Teasley, Sarah (eds.), Global Design History, 2011",0.416167,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,4,B0365,book,Richard Poulin：《Graphic Design and Architecture A 20th Century History》，2012,0.380312,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,5,B0242,book,Julier：《The culture of design，2018》,0.377343,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,6,B0400,book,"Sparke, Penny：《An introduction to design and culture 1900 to the present》",0.356531,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,7,B0292,book,Margolin：《World history of design》,0.35444,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,8,B0004,book,"Adam, Peter：Eileen Gray：Architect, Designer, 1987",0.352718,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,9,B0006,book,"Adburgham, Alison：《Libertys a biography of a shop》",0.348542,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,10,B0205,book,Jeffrey L. Meikle：《Design in the USA》,0.344036,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,11,B0102,book,David Raizman：《History of Modern Design》，2023,0.343023,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,12,B0250,book,"Kate Fletcher, Lynda Grose：《Fashion & Sustainability Design for Change》，2012",0.341216,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,13,B0086,book,Colleen E. Kriger：《Cloth in West African History》,0.340289,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,14,B0388,book,Scandinavian Design Alternative Histories (Kjetil Fallan (editor)),0.337576,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,15,B0122,book,"Digital Design Theory_ Readings from the Field (Design -- Armstrong, Helen -- De",0.335561,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,16,B0273,book,"Lees-Maffei, Grace; Houze, Rebecca (eds.)：The Design History Reader, 2010",0.335386,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,17,B0235,book,Jonathan M. Woodham：《Twentieth Century Design》,0.334766,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,18,B0036,book,"Attfield：《A View from the interior feminism, women, and design》",0.332512,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,19,B0180,book,Guy Julier：《The Culture of Design》，2000,0.332342,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,20,P0007,paper,"Bauhaus Imaginista Haus der Kulturen der Welt, Berlin, -- Basu, Priyanka -- West",0.330089,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,21,B0052,book,"Briggs, Asa：《Victorian things》",0.321697,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,22,B0108,book,"Design discourse _ history, theory, criticism -- Margolin, Victor, 1941- -- Chic",0.320233,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,23,B0107,book,Design Anthropology in Context _ An Introduction to Design -- Adam Drazin -- Lon,0.319921,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,24,B0259,book,"Kenneth Pomeranz：《The Great Divergence China, Europe, and the Making of the Modern World Economy》",0.318488,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,25,B0089,book,Craig Clunas：《Superfluous Things Material Culture and Social Status in Early Modern China》,0.318199,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,26,B0399,book,"Sparke, Penny; Fisher, Fiona (eds.), The Routledge Companion to Design Studies, 2016",0.315776,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,27,B0266,book,Landsberger：《Chinese propaganda posters from revolution to modernization》,0.315057,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,28,B0185,book,Heller：《Paul Rand》,0.31438,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,29,B0170,book,Glenn Adamson：《Global Design History》,0.311504,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,30,B0166,book,"George, Kenneth M.; Nordholt, Henk Schulte：《Outward Appearances Dressing State and Society in Indonesia》",0.306971,UNREVIEWED,candidate_needs_review
