batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-001-CH01-CH02,B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\packets\B0001_1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo.md,229290,complete,complete,partial_clean_text_spot_check
BATCH-001-CH01-CH02,B0005,book,"Adamson, Glenn; Riello, Giorgio; Teasley, Sarah (eds.), Global Design History, 2011","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\packets\B0005_Adamson, Glenn; Riello, Giorgio; Teasley, Sarah (eds.), Global Design History, 2011.md",214684,complete,complete,partial_clean_text_spot_check
BATCH-001-CH01-CH02,B0040,book,"Beckert, Sven：Empire of Cotton：A Global History, 2014","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\packets\B0040_Beckert, Sven：Empire of Cotton：A Global History, 2014.md",1218037,complete,complete,partial_clean_text_spot_check
BATCH-001-CH01-CH02,B0132,book,"Dr Maxine Berg：《The Age of Manufactures, 1700-1820 - Industry, Innovation and Work in Britain》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\packets\B0132_Dr Maxine Berg：《The Age of Manufactures, 1700-1820 - Industry, Innovation and Work in Britain》.md",205902,complete,complete,partial_clean_text_spot_check
BATCH-001-CH01-CH02,B0157,book,"Forty, Adrian：Objects of Desire, 1986","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\packets\B0157_Forty, Adrian：Objects of Desire, 1986.md",783423,complete,version_alias_suppressed,version_identity_checked
BATCH-001-CH01-CH02,B0170,book,Glenn Adamson：《Global Design History》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\packets\B0170_Glenn Adamson：《Global Design History》.md,165531,complete,version_alias_suppressed,version_identity_checked
BATCH-001-CH01-CH02,B0192,book,"Hounshell：《From the American system to mass production, 1800-1932 the developmen","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\packets\B0192_Hounshell：《From the American system to mass production, 1800-1932 the developmen.md",142950,complete,complete,partial_clean_text_spot_check
BATCH-001-CH01-CH02,B0204,book,Jeffrey Auerbach：《The Great Exhibition of 1851 A Nation on Display》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\packets\B0204_Jeffrey Auerbach：《The Great Exhibition of 1851 A Nation on Display》.md,151791,complete,complete,partial_clean_text_spot_check
BATCH-001-CH01-CH02,B0304,book,Maxine Berg：《Luxury and Pleasure in Eighteenth-Century Britain (2007)》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\packets\B0304_Maxine Berg：《Luxury and Pleasure in Eighteenth-Century Britain (2007)》.md,178265,complete,complete,partial_clean_text_spot_check
BATCH-001-CH01-CH02,B0328,book,"Objects of desire ： design and society since 1750 -- Forty, Adrian, 1948- -- New","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\packets\B0328_Objects of desire ： design and society since 1750 -- Forty, Adrian, 1948- -- New.md",202772,complete,complete,partial_clean_text_spot_check
BATCH-001-CH01-CH02,B0332,book,Owen Jones：《The Grammar of Ornament》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\packets\B0332_Owen Jones：《The Grammar of Ornament》.md,643714,complete,complete,partial_clean_text_spot_check
BATCH-001-CH01-CH02,P0040,paper,"Jespersen, John Kresten：Originality and Jones' The Grammar of Ornament of 1856, 2008","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\packets\P0040_Jespersen, John Kresten：Originality and Jones' The Grammar of Ornament of 1856, 2008.md",103083,complete,complete,partial_clean_text_spot_check
