batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-005-CH04-BAUHAUS,B0064,book,"Campbell, Joan：《The German Werkbund the politics of reform in the applied arts》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\packets\B0064_Campbell, Joan：《The German Werkbund the politics of reform in the applied arts》.md",164814,complete,complete,partial_clean_text_spot_check
BATCH-005-CH04-BAUHAUS,B0060,book,"Buddensieg, Tilmann; Rogge, Henning：《Industriekultur Peter Behrens and the AEG, 1907-1914》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\packets\B0060_Buddensieg, Tilmann; Rogge, Henning：《Industriekultur Peter Behrens and the AEG, 1907-1914》.md",189699,complete,complete,partial_clean_text_spot_check
BATCH-005-CH04-BAUHAUS,B0182,book,"Hans M. Wingler：《The Bauhaus Weimar, Dessau, Berlin, Chicago》，1969","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\packets\B0182_Hans M. Wingler：《The Bauhaus Weimar, Dessau, Berlin, Chicago》，1969.md",132304,complete,complete,partial_clean_text_spot_check
BATCH-005-CH04-BAUHAUS,B0282,book,Magdalena Droste：《The Bauhaus 1919-1933》，1990,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\packets\B0282_Magdalena Droste：《The Bauhaus 1919-1933》，1990.md,146213,complete,complete,partial_clean_text_spot_check
BATCH-005-CH04-BAUHAUS,B0158,book,Frank Whitford：《Bauhaus》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\packets\B0158_Frank Whitford：《Bauhaus》.md,212900,complete,complete,partial_clean_text_spot_check
BATCH-005-CH04-BAUHAUS,B0464,book,Éva Forgács：《The Bauhaus Idea and Bauhaus Politics》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\packets\B0464_Éva Forgács：《The Bauhaus Idea and Bauhaus Politics》.md,131663,complete,complete,partial_clean_text_spot_check
BATCH-005-CH04-BAUHAUS,B0216,book,Johannes Itten：《Design and Form The Basic Course at the Bauhaus and Later》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\packets\B0216_Johannes Itten：《Design and Form The Basic Course at the Bauhaus and Later》.md,101420,complete,complete,partial_clean_text_spot_check
BATCH-005-CH04-BAUHAUS,B0454,book,Wick：《Teaching at the Bauhaus》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\packets\B0454_Wick：《Teaching at the Bauhaus》.md,173321,complete,complete,partial_clean_text_spot_check
BATCH-005-CH04-BAUHAUS,B0081,book,"Christopher Burke：《Isotype Design and Contexts, 1925-1971》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\packets\B0081_Christopher Burke：《Isotype Design and Contexts, 1925-1971》.md",195863,complete,complete,partial_clean_text_spot_check
BATCH-005-CH04-BAUHAUS,B0008,book,Adolf Loos：《Ornament and Crime》，2019,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\packets\B0008_Adolf Loos：《Ornament and Crime》，2019.md,169199,complete,complete,partial_clean_text_spot_check
BATCH-005-CH04-BAUHAUS,B0517,book,靳埭强：《中国现代设计与包豪斯＝BAUHAUS CHINESE MODERN DESIGN》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\packets\B0517_靳埭强：《中国现代设计与包豪斯＝BAUHAUS CHINESE MODERN DESIGN》.md,91380,complete,complete,partial_clean_text_spot_check
BATCH-005-CH04-BAUHAUS,B0492,book,"杭间, 靳埭强, 胡恩威：《包豪斯道路：历史、遗泽、世界与中国》，2010","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\packets\B0492_杭间, 靳埭强, 胡恩威：《包豪斯道路：历史、遗泽、世界与中国》，2010.md",72860,complete,complete,partial_clean_text_spot_check
BATCH-005-CH04-BAUHAUS,B0247,book,"Kallir, Jane：Viennese Design and the Wiener Werkstatte, 1986","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\packets\B0247_Kallir, Jane：Viennese Design and the Wiener Werkstatte, 1986.md",129197,complete,complete,partial_clean_text_spot_check
BATCH-005-CH04-BAUHAUS,B0048,book,"Blotkamp, Carel; et al.：De Stijl：The Formative Years, 1917-1922, 1986","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\packets\B0048_Blotkamp, Carel; et al.：De Stijl：The Formative Years, 1917-1922, 1986.md",165762,complete,complete,partial_clean_text_spot_check
BATCH-005-CH04-BAUHAUS,B0342,book,Paul Overy：《De Stijl》，1991,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-005-CH04-BAUHAUS\packets\B0342_Paul Overy：《De Stijl》，1991.md,106099,complete,complete,partial_clean_text_spot_check
