batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-008-CH07-GOODDESIGN,B0316,book,"MINDELL, DAVID A. Automation's Finest Hour Radar and System Integration in World","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-008-CH07-GOODDESIGN\packets\B0316_MINDELL, DAVID A. Automation's Finest Hour Radar and System Integration in World.md",94501,complete,complete,partial_clean_text_spot_check
BATCH-008-CH07-GOODDESIGN,B0235,book,Jonathan M. Woodham：《Twentieth Century Design》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-008-CH07-GOODDESIGN\packets\B0235_Jonathan M. Woodham：《Twentieth Century Design》.md,1279628,complete,complete,partial_clean_text_spot_check
BATCH-008-CH07-GOODDESIGN,B0411,book,teaching design -- (德)克劳斯·雷曼(Klaus Lehmann)：《设计教育 教育设计》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-008-CH07-GOODDESIGN\packets\B0411_teaching design -- (德)克劳斯·雷曼(Klaus Lehmann)：《设计教育 教育设计》.md,66438,complete,complete,partial_clean_text_spot_check
BATCH-008-CH07-GOODDESIGN,B0388,book,Scandinavian Design Alternative Histories (Kjetil Fallan (editor)),D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-008-CH07-GOODDESIGN\packets\B0388_Scandinavian Design Alternative Histories (Kjetil Fallan (editor)).md,155949,complete,complete,partial_clean_text_spot_check
BATCH-008-CH07-GOODDESIGN,B0253,book,Kathryn B Hiesinger：《JAPANESE DESIGN A SURVEY SINCE 1950》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-008-CH07-GOODDESIGN\packets\B0253_Kathryn B Hiesinger：《JAPANESE DESIGN A SURVEY SINCE 1950》.md,175877,complete,complete,partial_clean_text_spot_check
BATCH-008-CH07-GOODDESIGN,B0234,book,Jonathan M. Woodham：《Dictionary of Modern Design》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-008-CH07-GOODDESIGN\packets\B0234_Jonathan M. Woodham：《Dictionary of Modern Design》.md,203162,complete,complete,partial_clean_text_spot_check
BATCH-008-CH07-GOODDESIGN,B0503,book,王受之：《世界现代设计史》，2015,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-008-CH07-GOODDESIGN\packets\B0503_王受之：《世界现代设计史》，2015.md,66161,complete,complete,partial_clean_text_spot_check
BATCH-008-CH07-GOODDESIGN,B0076,book,"Charlotte Fiell, Peter Fiell：《Scandinavian Design》，2002","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-008-CH07-GOODDESIGN\packets\B0076_Charlotte Fiell, Peter Fiell：《Scandinavian Design》，2002.md",199731,complete,complete,partial_clean_text_spot_check
BATCH-008-CH07-GOODDESIGN,B0394,book,Sharon Zukin：《Landscapes of Power From Detroit to Disney World》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-008-CH07-GOODDESIGN\packets\B0394_Sharon Zukin：《Landscapes of Power From Detroit to Disney World》.md,114507,complete,complete,partial_clean_text_spot_check
BATCH-008-CH07-GOODDESIGN,B0415,book,"Thackara, John (ed.), Design After Modernism, 1988","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-008-CH07-GOODDESIGN\packets\B0415_Thackara, John (ed.), Design After Modernism, 1988.md",173476,complete,complete,partial_clean_text_spot_check
BATCH-008-CH07-GOODDESIGN,B0401,book,Sparke：《An introduction to design and culture _ 1900 to the present，2020》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-008-CH07-GOODDESIGN\packets\B0401_Sparke：《An introduction to design and culture _ 1900 to the present，2020》.md,169934,complete,complete,partial_clean_text_spot_check
BATCH-008-CH07-GOODDESIGN,B0186,book,Henry Dreyfuss：《Designing for People》，1967,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-008-CH07-GOODDESIGN\packets\B0186_Henry Dreyfuss：《Designing for People》，1967.md,470696,complete,complete,partial_clean_text_spot_check
