batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-014-CH12-ETHICS,B0434,book,Victor Papanek：《Design for the Real World Human Ecology and Social Change》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-014-CH12-ETHICS\packets\B0434_Victor Papanek：《Design for the Real World Human Ecology and Social Change》.md,126118,complete,complete,partial_clean_text_spot_check
BATCH-014-CH12-ETHICS,B0420,book,"The green imperative _ natural design for the real world -- Papanek, Victor J --","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-014-CH12-ETHICS\packets\B0420_The green imperative _ natural design for the real world -- Papanek, Victor J --.md",110346,complete,complete,partial_clean_text_spot_check
BATCH-014-CH12-ETHICS,B0138,book,"Edward Steinfeld, Jordana Maisel：《Universal Design Creating Inclusive Environments》，2012","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-014-CH12-ETHICS\packets\B0138_Edward Steinfeld, Jordana Maisel：《Universal Design Creating Inclusive Environments》，2012.md",189141,complete,complete,partial_clean_text_spot_check
BATCH-014-CH12-ETHICS,B0460,book,"Wolfgang F. E. Preiser, Elaine Ostroff：《Universal Design Handbook》，2001","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-014-CH12-ETHICS\packets\B0460_Wolfgang F. E. Preiser, Elaine Ostroff：《Universal Design Handbook》，2001.md",166012,complete,complete,partial_clean_text_spot_check
BATCH-014-CH12-ETHICS,B0174,book,Graham Pullin：《Design Meets Disability》，2009,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-014-CH12-ETHICS\packets\B0174_Graham Pullin：《Design Meets Disability》，2009.md,132082,complete,complete,partial_clean_text_spot_check
BATCH-014-CH12-ETHICS,B0151,book,"Ezio Manzini：《Design, When Everybody Designs An Introduction to Design for Social Innovation》，2015","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-014-CH12-ETHICS\packets\B0151_Ezio Manzini：《Design, When Everybody Designs An Introduction to Design for Social Innovation》，2015.md",930105,complete,complete,partial_clean_text_spot_check
BATCH-014-CH12-ETHICS,B0032,book,"Arturo Escobar：《Designs for the Pluriverse Radical Interdependence, Autonomy, and the Making of Worlds》，2018","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-014-CH12-ETHICS\packets\B0032_Arturo Escobar：《Designs for the Pluriverse Radical Interdependence, Autonomy, and the Making of Worlds》，2018.md",198900,complete,complete,partial_clean_text_spot_check
BATCH-014-CH12-ETHICS,B0230,book,John Thackara：《In the Bubble Designing in a Complex World》，2005,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-014-CH12-ETHICS\packets\B0230_John Thackara：《In the Bubble Designing in a Complex World》，2005.md,243276,complete,complete,partial_clean_text_spot_check
BATCH-014-CH12-ETHICS,B0406,book,Steven Heller Veronique Vienne：《Citizen Designer Perspectives on Design Responsi,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-014-CH12-ETHICS\packets\B0406_Steven Heller Veronique Vienne：《Citizen Designer Perspectives on Design Responsi.md,100384,complete,complete,partial_clean_text_spot_check
BATCH-014-CH12-ETHICS,B0110,book,"Design futuring ： sustainability, ethics, and new practice -- Tony Fry -- 1, Lon","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-014-CH12-ETHICS\packets\B0110_Design futuring ： sustainability, ethics, and new practice -- Tony Fry -- 1, Lon.md",183522,complete,complete,partial_clean_text_spot_check
BATCH-014-CH12-ETHICS,B0347,book,"Personas, Participatory Design and Product Development An Infrastructure for Engagement","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-014-CH12-ETHICS\packets\B0347_Personas, Participatory Design and Product Development An Infrastructure for Engagement.md",107324,complete,complete,partial_clean_text_spot_check
BATCH-014-CH12-ETHICS,B0418,book,The design philosophy reader _ edited by Anne-Marie Willis_ -- Anne-Marie Willis,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-014-CH12-ETHICS\packets\B0418_The design philosophy reader _ edited by Anne-Marie Willis_ -- Anne-Marie Willis.md,125533,complete,complete,partial_clean_text_spot_check
