batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-015-CH13-GLOBAL,B0329,book,Olins：《Corporate identity making business strategy visible through design》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-015-CH13-GLOBAL\packets\B0329_Olins：《Corporate identity making business strategy visible through design》.md,185208,complete,complete,partial_clean_text_spot_check
BATCH-015-CH13-GLOBAL,B0226,book,John Heskett：《Toothpicks and Logos Design in Everyday Life》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-015-CH13-GLOBAL\packets\B0226_John Heskett：《Toothpicks and Logos Design in Everyday Life》.md,214118,complete,complete,partial_clean_text_spot_check
BATCH-015-CH13-GLOBAL,B0327,book,"None：《China design now , None》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-015-CH13-GLOBAL\packets\B0327_None：《China design now , None》.md",210415,complete,complete,partial_clean_text_spot_check
BATCH-015-CH13-GLOBAL,B0421,book,The Politics of Design： A (Not So) Global Design Manual for -- [writer and desig,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-015-CH13-GLOBAL\packets\B0421_The Politics of Design： A (Not So) Global Design Manual for -- [writer and desig.md,108459,complete,complete,partial_clean_text_spot_check
BATCH-015-CH13-GLOBAL,B0053,book,Brigitte Borja de Mozota：《Design Management Using Design to Build Brand Value and Corporate Innovation》，2003,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-015-CH13-GLOBAL\packets\B0053_Brigitte Borja de Mozota：《Design Management Using Design to Build Brand Value and Corporate Innovation》，2003.md,755752,complete,complete,partial_clean_text_spot_check
BATCH-015-CH13-GLOBAL,B0105,book,"Design and Creativity Policy, Management and Practice (Guy Julier Liz Moor (edit","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-015-CH13-GLOBAL\packets\B0105_Design and Creativity Policy, Management and Practice (Guy Julier Liz Moor (edit.md",242398,complete,complete,partial_clean_text_spot_check
BATCH-015-CH13-GLOBAL,B0015,book,Alice Rawsthorn：《Hello World Where Design Meets Life》，2013,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-015-CH13-GLOBAL\packets\B0015_Alice Rawsthorn：《Hello World Where Design Meets Life》，2013.md,166628,complete,complete,partial_clean_text_spot_check
BATCH-015-CH13-GLOBAL,B0188,book,"Heskett, John：Design：A Very Short Introduction, 2005","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-015-CH13-GLOBAL\packets\B0188_Heskett, John：Design：A Very Short Introduction, 2005.md",141230,complete,complete,partial_clean_text_spot_check
BATCH-015-CH13-GLOBAL,B0211,book,"Joanne Entwistle：《The Fashioned Body Fashion, Dress and Modern Social Theory》，2000","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-015-CH13-GLOBAL\packets\B0211_Joanne Entwistle：《The Fashioned Body Fashion, Dress and Modern Social Theory》，2000.md",799698,complete,complete,partial_clean_text_spot_check
BATCH-015-CH13-GLOBAL,B0250,book,"Kate Fletcher, Lynda Grose：《Fashion & Sustainability Design for Change》，2012","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-015-CH13-GLOBAL\packets\B0250_Kate Fletcher, Lynda Grose：《Fashion & Sustainability Design for Change》，2012.md",214952,complete,complete,partial_clean_text_spot_check
BATCH-015-CH13-GLOBAL,B0344,book,Penny Sparke：《A century of design design pioneers of the 20th century》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-015-CH13-GLOBAL\packets\B0344_Penny Sparke：《A century of design design pioneers of the 20th century》.md,114848,complete,complete,partial_clean_text_spot_check
BATCH-015-CH13-GLOBAL,P0061,paper,"Stephen L. Vargo, Robert F. Lusch：《Evolving to a New Dominant Logic for Marketing》，2004","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-015-CH13-GLOBAL\packets\P0061_Stephen L. Vargo, Robert F. Lusch：《Evolving to a New Dominant Logic for Marketing》，2004.md",116841,complete,complete,partial_clean_text_spot_check
