batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-024-CH16-DIGITAL,P0050,paper,ONeill：《The Transformer Principles of Making Isotype Charts by Marie Neurath and,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-024-CH16-DIGITAL\packets\P0050_ONeill：《The Transformer Principles of Making Isotype Charts by Marie Neurath and.md,66015,complete,complete,partial_clean_text_spot_check
BATCH-024-CH16-DIGITAL,B0137,book,"Edward Rolf Tufte：《Visual Explanations Images and Quantities, Evidence and Narrative》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-024-CH16-DIGITAL\packets\B0137_Edward Rolf Tufte：《Visual Explanations Images and Quantities, Evidence and Narrative》.md",186090,complete,complete,partial_clean_text_spot_check
BATCH-024-CH16-DIGITAL,B0323,book,Nielsen：《Designing Web usability》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-024-CH16-DIGITAL\packets\B0323_Nielsen：《Designing Web usability》.md,154796,complete,complete,partial_clean_text_spot_check
BATCH-024-CH16-DIGITAL,B0207,book,Jenifer Tidwell：《Designing Interfaces》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-024-CH16-DIGITAL\packets\B0207_Jenifer Tidwell：《Designing Interfaces》.md,148643,complete,complete,partial_clean_text_spot_check
BATCH-024-CH16-DIGITAL,B0018,book,Alla Kholmatova：《Design Systems》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-024-CH16-DIGITAL\packets\B0018_Alla Kholmatova：《Design Systems》.md,163879,complete,complete,partial_clean_text_spot_check
BATCH-024-CH16-DIGITAL,B0150,book,Erich Gamma：《Design Patterns Elements of Reusable Object-Oriented Software》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-024-CH16-DIGITAL\packets\B0150_Erich Gamma：《Design Patterns Elements of Reusable Object-Oriented Software》.md,78029,complete,complete,partial_clean_text_spot_check
BATCH-024-CH16-DIGITAL,P0071,paper,"Wiebe E. Bijker, Thomas P. Hughes：《The Social Construction of Technological Systems》，1987","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-024-CH16-DIGITAL\packets\P0071_Wiebe E. Bijker, Thomas P. Hughes：《The Social Construction of Technological Systems》，1987.md",91862,complete,complete,partial_clean_text_spot_check
BATCH-024-CH16-DIGITAL,B0295,book,Marshall McLuhan：《The Gutenberg Galaxy The Making of Typographic Man》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-024-CH16-DIGITAL\packets\B0295_Marshall McLuhan：《The Gutenberg Galaxy The Making of Typographic Man》.md,971658,complete,complete,partial_clean_text_spot_check
BATCH-024-CH16-DIGITAL,B0246,book,Kajri Jain：《Gods in the Bazaar The Economies of Indian Calendar Art》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-024-CH16-DIGITAL\packets\B0246_Kajri Jain：《Gods in the Bazaar The Economies of Indian Calendar Art》.md,177102,complete,complete,partial_clean_text_spot_check
BATCH-024-CH16-DIGITAL,B0261,book,Kevin Lynch：《The Image of the City》，1960,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-024-CH16-DIGITAL\packets\B0261_Kevin Lynch：《The Image of the City》，1960.md,1866914,complete,complete,partial_clean_text_spot_check
BATCH-024-CH16-DIGITAL,B0353,book,Pierre Bourdieu：《Distinction A Social Critique of the Judgement of Taste》，1979,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-024-CH16-DIGITAL\packets\B0353_Pierre Bourdieu：《Distinction A Social Critique of the Judgement of Taste》，1979.md,58801,complete,complete,partial_clean_text_spot_check
BATCH-024-CH16-DIGITAL,P0058,paper,Richard Buchanan：《Wicked Problems in Design Thinking》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-024-CH16-DIGITAL\packets\P0058_Richard Buchanan：《Wicked Problems in Design Thinking》.md,88038,complete,complete,partial_clean_text_spot_check
