batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-026-CH11-CH13-MATERIAL,B0056,book,"BUCHANAN, RICHARD. Branzi","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-026-CH11-CH13-MATERIAL\packets\B0056_BUCHANAN, RICHARD. Branzi.md",162304,complete,complete,partial_clean_text_spot_check
BATCH-026-CH11-CH13-MATERIAL,B0127,book,Donald A. Norman：《The Design of Everyday Things》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-026-CH11-CH13-MATERIAL\packets\B0127_Donald A. Norman：《The Design of Everyday Things》.md,178109,complete,complete,partial_clean_text_spot_check
BATCH-026-CH11-CH13-MATERIAL,B0208,book,Jenny L. Davis：《How Artifacts Afford The Power and Politics of Everyday Things》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-026-CH11-CH13-MATERIAL\packets\B0208_Jenny L. Davis：《How Artifacts Afford The Power and Politics of Everyday Things》.md,165982,complete,complete,partial_clean_text_spot_check
BATCH-026-CH11-CH13-MATERIAL,P0064,paper,"Terry Irwin：《Transition Design： A Proposal for a New Area of Design Practice, Study, and Research》，2015","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-026-CH11-CH13-MATERIAL\packets\P0064_Terry Irwin：《Transition Design： A Proposal for a New Area of Design Practice, Study, and Research》，2015.md",93878,complete,complete,partial_clean_text_spot_check
BATCH-026-CH11-CH13-MATERIAL,B0307,book,"Michael Braungart, William McDonough：《Cradle to cradle remaking the way we make things》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-026-CH11-CH13-MATERIAL\packets\B0307_Michael Braungart, William McDonough：《Cradle to cradle remaking the way we make things》.md",776568,complete,complete,partial_clean_text_spot_check
BATCH-026-CH11-CH13-MATERIAL,B0285,book,"Margolin, Victor, Design History or Design Studies, 1992","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-026-CH11-CH13-MATERIAL\packets\B0285_Margolin, Victor, Design History or Design Studies, 1992.md",166799,complete,complete,partial_clean_text_spot_check
BATCH-026-CH11-CH13-MATERIAL,B0179,book,Guy Julier：《From Visual Culture to Design Culture》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-026-CH11-CH13-MATERIAL\packets\B0179_Guy Julier：《From Visual Culture to Design Culture》.md,152737,complete,complete,partial_clean_text_spot_check
BATCH-026-CH11-CH13-MATERIAL,B0239,book,Judith Williamson：《Decoding advertisements ideology and meaning in advertising》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-026-CH11-CH13-MATERIAL\packets\B0239_Judith Williamson：《Decoding advertisements ideology and meaning in advertising》.md,164332,complete,complete,partial_clean_text_spot_check
BATCH-026-CH11-CH13-MATERIAL,B0379,book,Rudolf Arnheim：《Art and Visual Perception A Psychology of the Creative Eye》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-026-CH11-CH13-MATERIAL\packets\B0379_Rudolf Arnheim：《Art and Visual Perception A Psychology of the Creative Eye》.md,93600,complete,complete,partial_clean_text_spot_check
BATCH-026-CH11-CH13-MATERIAL,B0381,book,Rudolf Arnheim：《Visual Thinking》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-026-CH11-CH13-MATERIAL\packets\B0381_Rudolf Arnheim：《Visual Thinking》.md,155633,complete,complete,partial_clean_text_spot_check
BATCH-026-CH11-CH13-MATERIAL,B0077,book,Chermayeff：《Identify. Basic Principles of Identity Design in the Iconic Trademar,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-026-CH11-CH13-MATERIAL\packets\B0077_Chermayeff：《Identify. Basic Principles of Identity Design in the Iconic Trademar.md,196585,complete,complete,partial_clean_text_spot_check
BATCH-026-CH11-CH13-MATERIAL,B0331,book,Otl Aicher：《The World as Design》，1991,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-026-CH11-CH13-MATERIAL\packets\B0331_Otl Aicher：《The World as Design》，1991.md,425023,complete,complete,partial_clean_text_spot_check
