batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-029-DESIGN-HISTORY,B0058,book,"Buchanan, Richard; Margolin, Victor (eds.), Discovering Design, 1995","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-029-DESIGN-HISTORY\packets\B0058_Buchanan, Richard; Margolin, Victor (eds.), Discovering Design, 1995.md",154597,complete,complete,partial_clean_text_spot_check
BATCH-029-DESIGN-HISTORY,B0290,book,"Margolin, Victor; Buchanan, Richard (eds.)：The Idea of Design：A Design Issues Reader, 1995","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-029-DESIGN-HISTORY\packets\B0290_Margolin, Victor; Buchanan, Richard (eds.)：The Idea of Design：A Design Issues Reader, 1995.md",172043,complete,complete,partial_clean_text_spot_check
BATCH-029-DESIGN-HISTORY,P0012,paper,Buchanan：《Discovering design explorations in design studies》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-029-DESIGN-HISTORY\packets\P0012_Buchanan：《Discovering design explorations in design studies》.md,141481,complete,complete,partial_clean_text_spot_check
BATCH-029-DESIGN-HISTORY,B0288,book,"Margolin, Victor, World History of Design, Volume 1, 2015","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-029-DESIGN-HISTORY\packets\B0288_Margolin, Victor, World History of Design, Volume 1, 2015.md",146585,complete,complete,partial_clean_text_spot_check
BATCH-029-DESIGN-HISTORY,B0426,book,Tim Brown：《Change by Design How Design Thinking Transforms Organizations and Inspires Innovation》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-029-DESIGN-HISTORY\packets\B0426_Tim Brown：《Change by Design How Design Thinking Transforms Organizations and Inspires Innovation》.md,148801,complete,complete,partial_clean_text_spot_check
BATCH-029-DESIGN-HISTORY,B0160,book,Fuad-Luke：《The eco-design handbook a complete sourcebook for the home and office》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-029-DESIGN-HISTORY\packets\B0160_Fuad-Luke：《The eco-design handbook a complete sourcebook for the home and office》.md,185158,complete,complete,partial_clean_text_spot_check
BATCH-029-DESIGN-HISTORY,P0052,paper,Reed Benhamou：《By Design Why There Are No Locks on the Bathroom Doors in the Hotel Louis XIV and Other Object Lessons (review)》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-029-DESIGN-HISTORY\packets\P0052_Reed Benhamou：《By Design Why There Are No Locks on the Bathroom Doors in the Hotel Louis XIV and Other Object Lessons (review)》.md,54284,complete,complete,partial_clean_text_spot_check
BATCH-029-DESIGN-HISTORY,B0215,book,"Johanna Drucker：《The Visible Word Experimental Typography and Modern Art, 1909-1923》，1994","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-029-DESIGN-HISTORY\packets\B0215_Johanna Drucker：《The Visible Word Experimental Typography and Modern Art, 1909-1923》，1994.md",143419,complete,complete,partial_clean_text_spot_check
BATCH-029-DESIGN-HISTORY,B0144,book,"Ellen Lupton, J. Abbott Miller：《Design Writing Research Writing on Graphic Design》，1996","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-029-DESIGN-HISTORY\packets\B0144_Ellen Lupton, J. Abbott Miller：《Design Writing Research Writing on Graphic Design》，1996.md",137566,complete,complete,partial_clean_text_spot_check
BATCH-029-DESIGN-HISTORY,B0010,book,Alain Weill：《The Poster A Worldwide Survey and History》，1985,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-029-DESIGN-HISTORY\packets\B0010_Alain Weill：《The Poster A Worldwide Survey and History》，1985.md,175643,complete,complete,partial_clean_text_spot_check
BATCH-029-DESIGN-HISTORY,B0314,book,"Mildred S. Friedman, Joseph Giovannini：《Graphic Design in America A Visual Language History》，1989","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-029-DESIGN-HISTORY\packets\B0314_Mildred S. Friedman, Joseph Giovannini：《Graphic Design in America A Visual Language History》，1989.md",127677,complete,complete,partial_clean_text_spot_check
BATCH-029-DESIGN-HISTORY,B0221,book,John Clifford：《Graphic Icons Visionaries Who Shaped Modern Graphic Design》，2014,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-029-DESIGN-HISTORY\packets\B0221_John Clifford：《Graphic Icons Visionaries Who Shaped Modern Graphic Design》，2014.md,325943,complete,complete,partial_clean_text_spot_check
