batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-030-REMAINING,B0439,book,"Walker, John Albert; Attfield, Judy：Design History and the History of Design, 1989","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-030-REMAINING\packets\B0439_Walker, John Albert; Attfield, Judy：Design History and the History of Design, 1989.md",162291,complete,complete,partial_clean_text_spot_check
BATCH-030-REMAINING,B0270,book,"Lawson, Bryan; Dorst, Kees：Design Expertise, 2009","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-030-REMAINING\packets\B0270_Lawson, Bryan; Dorst, Kees：Design Expertise, 2009.md",663306,complete,complete,partial_clean_text_spot_check
BATCH-030-REMAINING,P0009,paper,"Brew, Angela：The Nature of Research：Inquiry into Academic Contexts, 2001","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-030-REMAINING\packets\P0009_Brew, Angela：The Nature of Research：Inquiry into Academic Contexts, 2001.md",84930,complete,complete,partial_clean_text_spot_check
BATCH-030-REMAINING,B0284,book,"Margolin, Victor, A World History of Design and the History of the World, 2005","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-030-REMAINING\packets\B0284_Margolin, Victor, A World History of Design and the History of the World, 2005.md",157366,complete,complete,partial_clean_text_spot_check
BATCH-030-REMAINING,B0255,book,Kees Dorst：《Frame Innovation Create New Thinking by Design》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-030-REMAINING\packets\B0255_Kees Dorst：《Frame Innovation Create New Thinking by Design》.md,137788,complete,complete,partial_clean_text_spot_check
BATCH-030-REMAINING,B0063,book,"Calhoun：《Critical social theory culture, history, and the challenge of difference》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-030-REMAINING\packets\B0063_Calhoun：《Critical social theory culture, history, and the challenge of difference》.md",228541,complete,complete,partial_clean_text_spot_check
BATCH-030-REMAINING,B0251,book,Kate Fletcher：《Sustainable Fashion and Textiles Design Journeys》，2008,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-030-REMAINING\packets\B0251_Kate Fletcher：《Sustainable Fashion and Textiles Design Journeys》，2008.md,156462,complete,complete,partial_clean_text_spot_check
BATCH-030-REMAINING,B0458,book,Witold Rybczynski：《Home A Short History of an Idea》，1986,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-030-REMAINING\packets\B0458_Witold Rybczynski：《Home A Short History of an Idea》，1986.md,91329,complete,complete,partial_clean_text_spot_check
BATCH-030-REMAINING,B0148,book,Emmanuel Cooper：《Ten Thousand Years of Pottery》，2000,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-030-REMAINING\packets\B0148_Emmanuel Cooper：《Ten Thousand Years of Pottery》，2000.md,159935,complete,complete,partial_clean_text_spot_check
BATCH-030-REMAINING,B0437,book,Victoria E. Bonnell：《Iconography of Power Soviet Political Posters under Lenin and Stalin》，1997,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-030-REMAINING\packets\B0437_Victoria E. Bonnell：《Iconography of Power Soviet Political Posters under Lenin and Stalin》，1997.md,99678,complete,complete,partial_clean_text_spot_check
BATCH-030-REMAINING,B0164,book,"Gennifer Weisenfeld.：《Mavo Japanese Artists and the Avant-Garde, 1905-1931》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-030-REMAINING\packets\B0164_Gennifer Weisenfeld.：《Mavo Japanese Artists and the Avant-Garde, 1905-1931》.md",169983,complete,complete,partial_clean_text_spot_check
BATCH-030-REMAINING,B0330,book,Oscar Lovell Triggs：《Arts Crafts Movement》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-030-REMAINING\packets\B0330_Oscar Lovell Triggs：《Arts Crafts Movement》.md,148336,complete,complete,partial_clean_text_spot_check
