source_id,corpus,source_folder,relative_path,category,size_bytes,sha256,characters,physical_lines,markdown_headings,replacement_characters,machine_read_status,semantic_review_status
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,分析报告.md,legacy_root_report,32505,bcfaaf2dedb92f20682c22df018d843f8a13a263aa69198e1852afe49ce0e4f9,14696,239,29,0,complete,pending
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,分析报告\00_整体分析报告.md,overall_report,21797,9e1d949cb62798bdf38724483c36ced203ce5b9112fddd1f35b66932c0e769f1,11358,237,29,0,complete,pending
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,分析报告\01_导论：早期百货商店作为现代消费文化塑造者——若干初步论断.md,chapter_or_full_report,20655,41fec96696284da6ac74eb55c80df4f623f3029676f816074761d6b3b66d051b,12567,237,24,0,complete,pending
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,分析报告\02_法国与美国早期百货商店简史.md,chapter_or_full_report,22494,a4cb65444c43ff0ffda41f36f8faffe31aa6b81706d5c5f5fb71053a8fa32b2d,14275,278,25,0,complete,pending
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,分析报告\03_作为商业创新者的百货商店.md,chapter_or_full_report,20879,c07914ab426c33bd188453327d6420c467e63df75ee3ec155f6c95487e0c3b8a,12511,243,24,0,complete,pending
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,分析报告\04_从顾客到消费者：百货商店作为女性公共空间与休闲中心.md,chapter_or_full_report,24748,08d66bf9dce5d52e392b8f5417ec8999fc5780366b5bced8491a33288cbb2082,14240,263,24,0,complete,pending
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,分析报告\05_从观看到购买：早期百货商店在广告与商品展示方面的创新.md,chapter_or_full_report,22427,11c09272eb1d4203a0aeb6fb7408d93cf262612b11121777f49a19f57040e442,13638,241,24,0,complete,pending
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,分析报告\06_早期百货商店内的现代消费文化：广告与展示的主导象征意义.md,chapter_or_full_report,24377,3de36d6c44af733f1062e875fb1a091723e561d8edd6ab1217fefc2e3b3bd161,14643,240,24,0,complete,pending
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,分析报告\07_早期百货商店与购物的女性化：矛盾的女性形象.md,chapter_or_full_report,20632,b03eaec4d94d4080da693ad3046ad09b882d7407667fedd7cf1d3ca90991447e,11956,202,24,0,complete,pending
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,分析报告\08_奢侈的虚假民主化：早期百货商店与现代中产阶级.md,chapter_or_full_report,23374,876a4a1ab172d5e13e40340f311169e01df00a7da22107e8b5d7d2f25d3fac94,13564,233,24,0,complete,pending
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,分析报告\09_早期百货商店与都市文化.md,chapter_or_full_report,28047,a5c414d59bd66cf10ea74142ec0e4c11a874ef0dc487a4af6061a9311e67c2ed,16225,248,24,0,complete,pending
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,分析报告\10_专项报告与实体总索引.md,special_entity_index,38565,a02e072b8d5babf73540aafccf116b4721220d43955c3da4790381802d564297,24802,565,31,0,complete,pending
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,知识涌现分析\00_方法与规则.md,emergence_method_or_overview,7908,571a2a758244feee2b1974c7b2fb3484098727c4ae81b81baa351e31db207249,4168,112,13,0,complete,pending
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,知识涌现分析\01_知识元语意分析.md,emergence_semantic_units,22915,66ed86ef742b1e0d634ef1c7f996d7eaa54ab6480c37887d5a9e9f979c95564f,13718,246,29,0,complete,pending
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,知识涌现分析\02_语义链接网络.md,emergence_link_network,20767,f988cb125ad773aadd36a247ba7225a0d92795c6712b6ad91d9ebfe7754be134,11100,265,19,0,complete,pending
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,知识涌现分析\03_知识涌现计算.md,emergence_computation,18355,558edfa7925575b34c5570da16d8e3abc572d158a3f3a3d876de0c0d595fbcb7,9463,232,15,0,complete,pending
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,知识涌现分析\04_知识发现报告.md,emergence_discovery,27610,c744ff8ad818d3ce6a1f90bf82e819b85b9bf9bf691996f3a8324548d7bf0470,12957,350,26,0,complete,pending
