version_group,intellectual_work,canonical_source_id,alias_source_id,relationship,counting_rule,verification_note
VGRP001,"Global Design History, edited by Adamson, Riello and Teasley, Routledge 2011",B0005,B0170,同一版次同一著作的不同转换资产；B0005保留分页，B0170偏连续文本与图像引用,只计一个独立书目实体；B0170仅作OCR互校,题名页、编者、出版社、年份一致；文件SHA不同
VGRP002,"Adrian Forty, Objects of Desire, 1986",B0328,B0157,同一著作的Thames & Hudson英国版与Pantheon美国版／不同数字化转换,知识论证只计一个实体；逐字引文按实际版次单独核页,题名与正文同一；版权页和版式不同；文件SHA不同
VGRP003-PARTIAL,"John Heskett, Industrial Design, 1980：The 'American System' and Mass-Production chapter",B0225,B0084,B0084阅读材料8重印B0225第三章的实质正文；B0084其余选文属于不同论文与未刊稿,重合章节在命题层只计一次；B0084整本文选仍是独立书目实体,Reader编者导言明确说明该章选自Industrial Design且clean文本对应段落一致但有编辑与OCR差异
VGRP004-TRANSLATION,"David Raizman, History of Modern Design, 2010 Second Edition",B0101,B0478,2010英文第二版与2013中国人民大学出版社中文第二版译本；语言、版式和OCR不同,相同章节与命题只计一个独立书目实体；逐字引文分别按英文版或中译本核页,两者题名页均指向2010第二版内容；B0478版权页为2013年中文第2版。逐章差异审计已完成（2026-08-12，见《第二章重复与共享P0去重总表》VGRP004行）：B0478只承担译本审计职能（中文术语参照、译后记、误译风险），其10条映射中6条为X／边界（EXCLUDE_AS_DUPLICATE_OF_B0101×2、EXCLUDE_AS_ERRONEOUS），重合命题不独立计证
VGRP005-EDITION,"David Raizman, History of Modern Design, 2010 Second Edition / 2023 Revised Edition",B0102,B0101,2023修订版继承并更新2010第二版；不是独立著作，也不是完全相同文本,未变命题只计一次；2023新增或实质修订内容须标明版次后单独计证,2023版权页列2003初版、2010第二版、2023本版。逐章版本差异审计已完成（2026-08-12，见《第二章重复与共享P0去重总表》VGRP005行）：B0102只对新增／实质修订内容按版次单独计证（六篇Global Inspiration插章、第16章重写、种族／性别深化、第3章David Drake等），未变命题只计一次（依据B0101来源卡notes、B0102来源卡version_relation、2.7映射EXCLUDED_AS_SHARED_WITH_SECOND_EDITION）
VGRP006-EDITION,"Penny Sparke, An Introduction to Design and Culture（1986首版／2004二版／2013三版）",B0345,B0401,"B0345为Routledge 2013年第三版；B0401文件名标2020，但版权页实为2004年第二版（L29 Second Edition、ISBN 0-415-26335-2），其来源卡标注与B0398（1986首版）为版本族；B0400为同书另一数字化转换（未复核）",同一著作只计一个独立书目实体；重合命题不独立计证，B0401只承担第二版增量（软现代主义、good design话语衰落叙事、后现代内容），B0398／B0400未复核、未来复核时按版次审计对象计证,B0345来源卡duplicate_group原标"与B0400/B0401为同书多资产（版本关系待判定）"，2026-08-12依据B0401来源卡（版权页第二版）与B0345整体分析报告（第三版2013）判定为版本族；文件SHA不同
VGRP007-TRANSLATION,"Victor Margolin, World History of Design, Volume 2: World War I to World War II（2015）",B0289,B0292,"B0289为英文原版Vol 2（2015，1003页PDF转换）；B0292为同一版次的Internet Archive数字化转换（2022）；B0507为2015年中译本《世界设计史2：一战至二战》",同一著作只计一个独立书目实体；B0292仅作OCR互校与检索对照；B0507为译本审计对象（术语参照、译后记），重合命题不独立计证,2026-08-12依据B0292 packet整体分析报告（标题"Volume 2: World War I to World War II"）与B0289 clean头部（同一书名、卷次、作者）判定为同一版次不同转换资产；文件SHA与体量不同（3.27MB vs 4.98MB）
VGRP008-EDITION,"Guy Julier, The Culture of Design（2000首版／2018新版）",B0242,B0180,"B0242为2018版资产（packet识别2000首版文本）；B0180为2000年首版（SAGE）；Julier《The Culture of Design》不同版次",同一著作只计一个独立书目实体；重合命题不独立计证，B0242承担新版增量；版本差异须返回原书核实（导论审计待办）,导论证据结构汇总审计"版本与去重结论"；B0242来源卡notes（版本差异须返回原书核实）
VGRP009-EDITION,"夏燕靖《中国艺术设计史》（2011第三版／2016升级版）",B0476,B0477,"B0476为上海人民美术出版社2016年6月升级版（ISBN 978-7-5322-9726-9）；B0477为南京师范大学出版社2011年第三版（ISBN 978-7-81101-933-9）",同一著作只计一个独立书目实体；B0476承担升级版内容（含新中国时期与1949—2000大事年表），B0477承担第三版增量；重合命题不独立计证,2026-08-12依据两书CIP数据（同作者夏燕靖、同书名《中国艺术设计史》、J509.2分类）判定为同一著作不同版次；文件SHA与体量不同（817KB vs 850KB）
VGRP010-EDITION,"John Heskett, Design: A Very Short Introduction（2002硬精／2003平装／2005通识版）",B0226,B0188,"B0226为英国版书名《Toothpicks and Logos: Design in Everyday Life》（2002）；B0188为VSI系列书名《Design: A Very Short Introduction》（2005）；版权页一致（© John Heskett 2002，First published in hardback 2002, VSI 2005）",同一著作只计一个独立书目实体；B0226承担全部命题，B0188仅作版本互校,2026-08-12依据两书版权页（同为OUP、© John Heskett 2002、ISBN 0-19-285446-1）判定为同一著作不同书名/版次；文件SHA与体量不同（251KB vs 266KB）
VGRP011-DUPLICATE,"Anthony Dunne & Fiona Raby, Speculative Everything: Design, Fiction, and Social Dreaming（2013）",B0024,B0026,"B0024为规范资产（含2013年）；B0026为同一著作的另一数字化转换（作者项漏署Raby）",同一著作只计一个独立书目实体；B0024承担全部命题，B0026仅作OCR互校,2026-08-12依据两文件书名/作者/出版信息一致判定为同一版次不同转换资产；文件SHA与体量不同（302KB vs 315KB）
VGRP012-TRANSLATION,"Margolin & Buchanan (eds.), The Idea of Design: A Design Issues Reader（1995）",B0059,B0065,"B0059为英文原版（MIT Press 1995）；B0065资产ID标注为Carl DiSalvo《Adversarial Design》，但packet实际内容为张黎译《设计的观念：〈设计问题〉读本》（江苏凤凰美术出版社2018）——即B0059的中译本；资产总表存在张冠李戴",同一著作只计一个独立书目实体；B0065为译本审计对象（术语参照、译后记），重合命题不独立计证,2026-08-12依据B0065 packet分析报告（书名/编者/译者/出版社与《The Idea of Design》一致）判定为B0059中译本；原资产ID标注的作者（DiSalvo）与实际内容不符，须在来源卡与资产总表注明
VGRP013-DUPLICATE,"Donald A. Schön, The Reflective Practitioner: How Professionals Think in Action（1983）",B0128,B0129,"B0128为规范资产；B0129为同一著作的另一数字化转换（文件名中Schön写作Schon）",同一著作只计一个独立书目实体；B0128承担全部命题，B0129仅作OCR互校,2026-08-12依据两文件书名一致判定为同一版次不同转换资产；文件SHA与体量接近（675KB vs 675KB）
VGRP014-DUPLICATE,"Victor Margolin, The Politics of the Artificial: Essays on Design and Design Studies（2002）",B0287,P0067,"B0287为完整书资产（book）；P0067为同一著作的论文/章节资产（paper）",同一著作只计一个独立书目实体；B0287承担全部命题，P0067仅作检索对照,2026-08-12依据两文件书名/作者一致判定为同一著作不同资产；文件SHA与体量不同（798KB vs 728KB）
VGRP015-DUPLICATE,"Herbert A. Simon, The Sciences of the Artificial（第三版1996）",B0423,B0397,"B0423为第三版完整正文（8章＋索引）；B0397资产ID标注1969，但其内容实为同一第三版（1996）的第3—8章＋索引（分析报告明示，引文下至1995年）——即同一版次的不完整转换",同一著作只计一个独立书目实体；B0423（完整三版）承担全部命题，B0397仅作版本互校,2026-08-12依据B0397 packet分析报告（'本clean文件不含初版第1、2章……内容实为第三版'）判定为同一版次不同转换；文件SHA与体量不同（486KB vs 397KB）
VGRP016-DUPLICATE,"Arturo Escobar, Designs for the Pluriverse: Radical Interdependence, Autonomy, and the Making of Worlds（2018）",B0032,B0033,"B0032（已复核，CH12批次跨章）为规范资产；B0033为同一著作的另一数字化转换（OCR质量差异：B0032文本含'6for''Autonomv'等OCR错误）",同一著作只计一个独立书目实体；B0032承担全部命题，B0033仅作OCR互校,2026-08-12依据两文件书名/作者一致且版本信息相同（2018）判定为同一版次不同转换；文件SHA不同
