source_id,corpus,folder_name,material_type,clean_source_path,clean_match_confidence,duplicate_group,report_file_count,report_characters,report_lines,review_status,evidence_level,notes
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo.md,1.0,,17,225881,4431,machine_read_complete,V2,
B0002,book,[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004_clean.md,1.0,,14,68199,1711,machine_read_complete,V2,
B0003,book,A. H. Munsell：《A color notation》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\A. H. Munsell：《A color notation》.md,1.0,,12,152847,3099,machine_read_complete,V2,
B0004,book,"Adam, Peter：Eileen Gray：Architect, Designer, 1987",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\Adam, Peter：Eileen Gray：Architect, Designer, 1987_clean.md",1.0,,18,194849,4719,machine_read_complete,V2,
B0005,book,"Adamson, Glenn; Riello, Giorgio; Teasley, Sarah (eds.), Global Design History, 2011",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\Adamson, Glenn; Riello, Giorgio; Teasley, Sarah (eds.), Global Design History, 2011.md",1.0,,22,210406,3867,machine_read_complete,V2,
B0006,book,"Adburgham, Alison：《Libertys a biography of a shop》",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\Adburgham, Alison：《Libertys a biography of a shop》_clean.md",1.0,,22,216197,4592,machine_read_complete,V2,
B0007,book,Ades：《Photomontage》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Ades：《Photomontage》.md,1.0,,13,162575,3173,machine_read_complete,V2,
B0008,book,Adolf Loos：《Ornament and Crime》，2019,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Adolf Loos：《Ornament and Crime》，2019_clean.md,1.0,,32,163464,4107,machine_read_complete,V2,
B0009,book,Alain Weill：《Graphic Design A History》，2004,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Alain Weill：《Graphic Design A History》，2004.md,1.0,,22,173575,5048,machine_read_complete,V2,
B0010,book,Alain Weill：《The Poster A Worldwide Survey and History》，1985,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Alain Weill：《The Poster A Worldwide Survey and History》，1985.md,1.0,,17,172382,4069,machine_read_complete,V2,
B0011,book,"Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》_clean.md",1.0,,29,176226,6048,machine_read_complete,V2,
B0012,book,Alastair Duncan：《American Art Deco (1986)》，1986,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Alastair Duncan：《American Art Deco (1986)》，1986_clean.md,1.0,,16,137352,4254,machine_read_complete,V2,
B0013,book,Alexander Lavrentiev：《Alexander Rodchenko Photography 1924-1954》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Alexander Lavrentiev：《Alexander Rodchenko Photography 1924-1954》_clean.md,1.0,,17,114495,2716,machine_read_complete,V2,
B0014,book,"Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha.md",1.0,,14,143665,3252,machine_read_complete,V2,
B0015,book,Alice Rawsthorn：《Hello World Where Design Meets Life》，2013,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Alice Rawsthorn：《Hello World Where Design Meets Life》，2013.md,1.0,,23,162388,4284,machine_read_complete,V2,
B0016,book,Alison Black：《Information Design. Research and practice》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Alison Black：《Information Design. Research and practice》.md,1.0,,57,154706,4447,machine_read_complete,V2,
B0017,book,Alison J. Clarke (ed.)：《Design Anthropology Object Cultures in Transition》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Alison J. Clarke (ed.)：《Design Anthropology Object Cultures in Transition》_clean.md,1.0,,23,151010,3913,machine_read_complete,V2,
