batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-003-CH02-EXPANDED,B0049,book,"Bonython, Elizabeth; Burton, Anthony：The Great Exhibitor：The Life and Work of Henry Cole, 2003","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\packets\B0049_Bonython, Elizabeth; Burton, Anthony：The Great Exhibitor：The Life and Work of Henry Cole, 2003.md",146260,complete,complete,partial_clean_text_spot_check
BATCH-003-CH02-EXPANDED,B0339,book,"Paul Greenhalgh：《Ephemeral Vistas The Expositions Universelles, Great Exhibition","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\packets\B0339_Paul Greenhalgh：《Ephemeral Vistas The Expositions Universelles, Great Exhibition.md",183328,complete,complete,partial_clean_text_spot_check
BATCH-003-CH02-EXPANDED,B0175,book,"Grand Designs Labor, Empire, and the Museum in Victorian Culture","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\packets\B0175_Grand Designs Labor, Empire, and the Museum in Victorian Culture.md",183333,complete,complete,partial_clean_text_spot_check
BATCH-003-CH02-EXPANDED,B0070,book,"Charles Harvey, Jon Press：《William Morris design and enterprise in Victorian England》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\packets\B0070_Charles Harvey, Jon Press：《William Morris design and enterprise in Victorian England》.md",430339,complete,complete,partial_clean_text_spot_check
BATCH-003-CH02-EXPANDED,B0168,book,"Gillian Naylor：《The arts and crafts movement a study of its sources, ideals and influence on design theory》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\packets\B0168_Gillian Naylor：《The arts and crafts movement a study of its sources, ideals and influence on design theory》.md",180855,complete,complete,partial_clean_text_spot_check
BATCH-003-CH02-EXPANDED,B0133,book,E. P. Thompson：《William Morris romantic to revolutionary》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\packets\B0133_E. P. Thompson：《William Morris romantic to revolutionary》.md,247620,complete,complete,partial_clean_text_spot_check
BATCH-003-CH02-EXPANDED,B0348,book,"Peterson, William S.：The Kelmscott Press：A History of William Morris's Typographical Adventure, 1991","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\packets\B0348_Peterson, William S.：The Kelmscott Press：A History of William Morris's Typographical Adventure, 1991.md",98445,complete,complete,partial_clean_text_spot_check
BATCH-003-CH02-EXPANDED,B0383,book,"Ruskin, John：《The Stones of Venice》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\packets\B0383_Ruskin, John：《The Stones of Venice》.md",119516,complete,complete,partial_clean_text_spot_check
BATCH-003-CH02-EXPANDED,B0006,book,"Adburgham, Alison：《Libertys a biography of a shop》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\packets\B0006_Adburgham, Alison：《Libertys a biography of a shop》.md",220432,complete,complete,partial_clean_text_spot_check
BATCH-003-CH02-EXPANDED,B0052,book,"Briggs, Asa：《Victorian things》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-003-CH02-EXPANDED\packets\B0052_Briggs, Asa：《Victorian things》.md",2664686,complete,complete,partial_clean_text_spot_check
