batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-004-CH03-AVANTGARDE,B0363,book,Reyner Banham：《Theory and Design in the First Machine Age》，1960,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\packets\B0363_Reyner Banham：《Theory and Design in the First Machine Age》，1960.md,137013,complete,complete,partial_clean_text_spot_check
BATCH-004-CH03-AVANTGARDE,B0027,book,Apollonio：《Futurist manifestos》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\packets\B0027_Apollonio：《Futurist manifestos》.md,203248,complete,complete,partial_clean_text_spot_check
BATCH-004-CH03-AVANTGARDE,B0346,book,Penny Sparke：《Italian Design 1870 to the Present》，1988,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\packets\B0346_Penny Sparke：《Italian Design 1870 to the Present》，1988.md,131194,complete,complete,partial_clean_text_spot_check
BATCH-004-CH03-AVANTGARDE,B0121,book,"Dickerman：《Dada Zurich, Berlin, Hannover, Cologne, New York, Paris》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\packets\B0121_Dickerman：《Dada Zurich, Berlin, Hannover, Cologne, New York, Paris》.md",160147,complete,complete,partial_clean_text_spot_check
BATCH-004-CH03-AVANTGARDE,B0007,book,Ades：《Photomontage》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\packets\B0007_Ades：《Photomontage》.md,165050,complete,complete,partial_clean_text_spot_check
BATCH-004-CH03-AVANTGARDE,B0277,book,Lodder：《Russian constructivism》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\packets\B0277_Lodder：《Russian constructivism》.md,137285,complete,complete,partial_clean_text_spot_check
BATCH-004-CH03-AVANTGARDE,B0222,book,John E. Bowlt (ed.)：《Russian Art of the Avant-Garde Theory and Criticism 1902-1934》，1976,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\packets\B0222_John E. Bowlt (ed.)：《Russian Art of the Avant-Garde Theory and Criticism 1902-1934》，1976.md,193468,complete,complete,partial_clean_text_spot_check
BATCH-004-CH03-AVANTGARDE,B0228,book,John Milner：《Vladimir Tatlin and the Russian Avant-Garde》，1983,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\packets\B0228_John Milner：《Vladimir Tatlin and the Russian Avant-Garde》，1983.md,147654,complete,complete,partial_clean_text_spot_check
BATCH-004-CH03-AVANTGARDE,B0276,book,"Lissitzky, El; Arp, Hans (eds.)：Die Kunstismen = The Isms of Art, 1990","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\packets\B0276_Lissitzky, El; Arp, Hans (eds.)：Die Kunstismen = The Isms of Art, 1990.md",202648,complete,complete,partial_clean_text_spot_check
BATCH-004-CH03-AVANTGARDE,B0187,book,Herbert Spencer：《Pioneers of Modern Typography》，1969,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\packets\B0187_Herbert Spencer：《Pioneers of Modern Typography》，1969.md,159708,complete,complete,partial_clean_text_spot_check
BATCH-004-CH03-AVANTGARDE,B0291,book,"Margolin, Victor：The Struggle for Utopia：Rodchenko, Lissitzky, Moholy-Nagy, 1917-1946, 1997","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\packets\B0291_Margolin, Victor：The Struggle for Utopia：Rodchenko, Lissitzky, Moholy-Nagy, 1917-1946, 1997.md",837768,complete,complete,partial_clean_text_spot_check
BATCH-004-CH03-AVANTGARDE,B0269,book,Laszlo Moholy-Nagy：《Vision in Motion》，1947,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\packets\B0269_Laszlo Moholy-Nagy：《Vision in Motion》，1947.md,161004,complete,complete,partial_clean_text_spot_check
BATCH-004-CH03-AVANTGARDE,B0013,book,Alexander Lavrentiev：《Alexander Rodchenko Photography 1924-1954》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\packets\B0013_Alexander Lavrentiev：《Alexander Rodchenko Photography 1924-1954》.md,117752,complete,complete,partial_clean_text_spot_check
BATCH-004-CH03-AVANTGARDE,B0199,book,James：《Picture this World War I posters and visual culture》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-004-CH03-AVANTGARDE\packets\B0199_James：《Picture this World War I posters and visual culture》.md,171771,complete,complete,partial_clean_text_spot_check
