batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-007-CH06-EASTASIA,B0500,book,沈榆：《观念的演进：中国现代设计史》，2021,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-007-CH06-EASTASIA\packets\B0500_沈榆：《观念的演进：中国现代设计史》，2021.md,65722,complete,complete,partial_clean_text_spot_check
BATCH-007-CH06-EASTASIA,B0485,book,曹小鸥：《中国现代设计思想：生活、启蒙、变迁》，2018,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-007-CH06-EASTASIA\packets\B0485_曹小鸥：《中国现代设计思想：生活、启蒙、变迁》，2018.md,83919,complete,complete,partial_clean_text_spot_check
BATCH-007-CH06-EASTASIA,B0493,book,杭间：《中国工艺美学史(第三版修订本)》，2018,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-007-CH06-EASTASIA\packets\B0493_杭间：《中国工艺美学史(第三版修订本)》，2018.md,88792,complete,complete,partial_clean_text_spot_check
BATCH-007-CH06-EASTASIA,B0505,book,移动的美术馆 20世纪初中国的书籍装帧设计与商业美术,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-007-CH06-EASTASIA\packets\B0505_移动的美术馆 20世纪初中国的书籍装帧设计与商业美术.md,77072,complete,complete,partial_clean_text_spot_check
BATCH-007-CH06-EASTASIA,B0079,book,"Christopher A. Reed：《Gutenberg in Shanghai Chinese Print Capitalism, 1876-1937》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-007-CH06-EASTASIA\packets\B0079_Christopher A. Reed：《Gutenberg in Shanghai Chinese Print Capitalism, 1876-1937》.md",138806,complete,complete,partial_clean_text_spot_check
BATCH-007-CH06-EASTASIA,B0469,book,刘小羊：《中国平面设计史论稿》，2016,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-007-CH06-EASTASIA\packets\B0469_刘小羊：《中国平面设计史论稿》，2016.md,68922,complete,complete,partial_clean_text_spot_check
BATCH-007-CH06-EASTASIA,B0472,book,周博：《断裂与绵延：中国现代设计史研究》，2019,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-007-CH06-EASTASIA\packets\B0472_周博：《断裂与绵延：中国现代设计史研究》，2019.md,78540,complete,complete,partial_clean_text_spot_check
BATCH-007-CH06-EASTASIA,B0495,book,杭间：《设计道：中国设计的基本问题》，2008,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-007-CH06-EASTASIA\packets\B0495_杭间：《设计道：中国设计的基本问题》，2008.md,79114,complete,complete,partial_clean_text_spot_check
BATCH-007-CH06-EASTASIA,B0514,book,邹德侬：《中国现代建筑史》，2001,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-007-CH06-EASTASIA\packets\B0514_邹德侬：《中国现代建筑史》，2001.md,78366,complete,complete,partial_clean_text_spot_check
BATCH-007-CH06-EASTASIA,B0219,book,John A. Lent：《Comics Art in China》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-007-CH06-EASTASIA\packets\B0219_John A. Lent：《Comics Art in China》.md,133756,complete,complete,partial_clean_text_spot_check
BATCH-007-CH06-EASTASIA,B0143,book,Elizabeth Wilson：《Adorned in Dreams Fashion and Modernity》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-007-CH06-EASTASIA\packets\B0143_Elizabeth Wilson：《Adorned in Dreams Fashion and Modernity》.md,190865,complete,complete,partial_clean_text_spot_check
BATCH-007-CH06-EASTASIA,B0465,book,万长林：《香港平面设计史》，2012,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-007-CH06-EASTASIA\packets\B0465_万长林：《香港平面设计史》，2012.md,78619,complete,complete,partial_clean_text_spot_check
