batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-009-CH00-INTRO,B0242,book,Julier：《The culture of design，2018》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-009-CH00-INTRO\packets\B0242_Julier：《The culture of design，2018》.md,181373,complete,complete,partial_clean_text_spot_check
BATCH-009-CH00-INTRO,B0059,book,"Buchanan, Richard; Margolin, Victor (eds.), The Idea of Design, 1995","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-009-CH00-INTRO\packets\B0059_Buchanan, Richard; Margolin, Victor (eds.), The Idea of Design, 1995.md",189307,complete,complete,partial_clean_text_spot_check
BATCH-009-CH00-INTRO,B0337,book,Paul Greenhalgh (ed.)：《Modernism in Design》，1990,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-009-CH00-INTRO\packets\B0337_Paul Greenhalgh (ed.)：《Modernism in Design》，1990.md,139057,complete,complete,partial_clean_text_spot_check
BATCH-009-CH00-INTRO,B0313,book,Mike Davis：《Late Victorian Holocausts El Nino Famines and the Making of the Third World》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-009-CH00-INTRO\packets\B0313_Mike Davis：《Late Victorian Holocausts El Nino Famines and the Making of the Third World》.md,223050,complete,complete,partial_clean_text_spot_check
BATCH-009-CH00-INTRO,B0273,book,"Lees-Maffei, Grace; Houze, Rebecca (eds.)：The Design History Reader, 2010","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-009-CH00-INTRO\packets\B0273_Lees-Maffei, Grace; Houze, Rebecca (eds.)：The Design History Reader, 2010.md",210058,complete,complete,partial_clean_text_spot_check
BATCH-009-CH00-INTRO,B0240,book,Judy Attfield：《Wild Things The Material Culture of Everyday Life》，2000,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-009-CH00-INTRO\packets\B0240_Judy Attfield：《Wild Things The Material Culture of Everyday Life》，2000.md,1354983,complete,complete,partial_clean_text_spot_check
BATCH-009-CH00-INTRO,B0108,book,"Design discourse _ history, theory, criticism -- Margolin, Victor, 1941- -- Chic","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-009-CH00-INTRO\packets\B0108_Design discourse _ history, theory, criticism -- Margolin, Victor, 1941- -- Chic.md",339128,complete,complete,partial_clean_text_spot_check
BATCH-009-CH00-INTRO,B0214,book,"Johanna Drucker, Emily McVarish：《Graphic Design History A Critical Guide》，2009","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-009-CH00-INTRO\packets\B0214_Johanna Drucker, Emily McVarish：《Graphic Design History A Critical Guide》，2009.md",1245369,complete,complete,partial_clean_text_spot_check
BATCH-009-CH00-INTRO,B0376,book,"Roland Marchand：《Advertising and the American dream - Making way for modernity, 1920-1940》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-009-CH00-INTRO\packets\B0376_Roland Marchand：《Advertising and the American dream - Making way for modernity, 1920-1940》.md",133227,complete,complete,partial_clean_text_spot_check
BATCH-009-CH00-INTRO,B0115,book,"Design, History and Time _ New Temporalities in a Digital -- Hendon, Zoë (editor","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-009-CH00-INTRO\packets\B0115_Design, History and Time _ New Temporalities in a Digital -- Hendon, Zoë (editor.md",361251,complete,complete,partial_clean_text_spot_check
BATCH-009-CH00-INTRO,B0183,book,Hazel Conway：《Design history a students handbook》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-009-CH00-INTRO\packets\B0183_Hazel Conway：《Design history a students handbook》.md,163069,complete,complete,partial_clean_text_spot_check
BATCH-009-CH00-INTRO,B0440,book,Walker：《Design History and the History of Design》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-009-CH00-INTRO\packets\B0440_Walker：《Design History and the History of Design》.md,139757,complete,complete,partial_clean_text_spot_check
