batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-010-CH08-COLDWAR,B0099,book,"David Crowley, Susan E. Reid：《Socialist Spaces Sites of Everyday Life in the Eastern Bloc》，2002","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-010-CH08-COLDWAR\packets\B0099_David Crowley, Susan E. Reid：《Socialist Spaces Sites of Everyday Life in the Eastern Bloc》，2002.md",239501,complete,complete,partial_clean_text_spot_check
BATCH-010-CH08-COLDWAR,B0100,book,David Crowley：《Warsaw》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-010-CH08-COLDWAR\packets\B0100_David Crowley：《Warsaw》.md,196424,complete,complete,partial_clean_text_spot_check
BATCH-010-CH08-COLDWAR,P0062,paper,"Susan E. Reid：《Repenser le Dégel： Versions du socialisme, influences internationales et société soviétique》，2005","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-010-CH08-COLDWAR\packets\P0062_Susan E. Reid：《Repenser le Dégel： Versions du socialisme, influences internationales et société soviétique》，2005.md",90615,complete,complete,partial_clean_text_spot_check
BATCH-010-CH08-COLDWAR,B0292,book,Margolin：《World history of design》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-010-CH08-COLDWAR\packets\B0292_Margolin：《World history of design》.md,165889,complete,complete,partial_clean_text_spot_check
BATCH-010-CH08-COLDWAR,B0289,book,"Margolin, Victor, World History of Design, Volume 2, 2015","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-010-CH08-COLDWAR\packets\B0289_Margolin, Victor, World History of Design, Volume 2, 2015.md",127476,complete,complete,partial_clean_text_spot_check
BATCH-010-CH08-COLDWAR,B0417,book,"The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-010-CH08-COLDWAR\packets\B0417_The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York.md",88678,complete,complete,partial_clean_text_spot_check
BATCH-010-CH08-COLDWAR,B0266,book,Landsberger：《Chinese propaganda posters from revolution to modernization》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-010-CH08-COLDWAR\packets\B0266_Landsberger：《Chinese propaganda posters from revolution to modernization》.md,146323,complete,complete,partial_clean_text_spot_check
BATCH-010-CH08-COLDWAR,B0473,book,周博：《现代设计伦理思想史》，2014,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-010-CH08-COLDWAR\packets\B0473_周博：《现代设计伦理思想史》，2014.md,79128,complete,complete,partial_clean_text_spot_check
BATCH-010-CH08-COLDWAR,B0281,book,"M. Havinden：《Colonialism and Development Britain and Its Tropical Colonies, 1850-1960》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-010-CH08-COLDWAR\packets\B0281_M. Havinden：《Colonialism and Development Britain and Its Tropical Colonies, 1850-1960》.md",168559,complete,complete,partial_clean_text_spot_check
BATCH-010-CH08-COLDWAR,B0038,book,"Bauer, Arnold J：《Goods, power, history Latin Americas material culture》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-010-CH08-COLDWAR\packets\B0038_Bauer, Arnold J：《Goods, power, history Latin Americas material culture》.md",666255,complete,complete,partial_clean_text_spot_check
BATCH-010-CH08-COLDWAR,B0366,book,Richard Stites：《Revolutionary Dreams Utopian Vision and Experimental Life in the Russian Revolution》，1989,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-010-CH08-COLDWAR\packets\B0366_Richard Stites：《Revolutionary Dreams Utopian Vision and Experimental Life in the Russian Revolution》，1989.md,94246,complete,complete,partial_clean_text_spot_check
BATCH-010-CH08-COLDWAR,B0166,book,"George, Kenneth M.; Nordholt, Henk Schulte：《Outward Appearances Dressing State and Society in Indonesia》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-010-CH08-COLDWAR\packets\B0166_George, Kenneth M.; Nordholt, Henk Schulte：《Outward Appearances Dressing State and Society in Indonesia》.md",160190,complete,complete,partial_clean_text_spot_check
