batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-011-CH09-CONSUMER,B0431,book,Vance Packard：《The Waste Makers》，1960,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-011-CH09-CONSUMER\packets\B0431_Vance Packard：《The Waste Makers》，1960.md,160844,complete,complete,partial_clean_text_spot_check
BATCH-011-CH09-CONSUMER,B0202,book,Jean Baudrillard：《The Consumer Society Myths and Structures》，1970,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-011-CH09-CONSUMER\packets\B0202_Jean Baudrillard：《The Consumer Society Myths and Structures》，1970.md,699865,complete,complete,partial_clean_text_spot_check
BATCH-011-CH09-CONSUMER,B0203,book,Jean Baudrillard：《The System Of Objects》，1968,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-011-CH09-CONSUMER\packets\B0203_Jean Baudrillard：《The System Of Objects》，1968.md,515825,complete,complete,partial_clean_text_spot_check
BATCH-011-CH09-CONSUMER,B0367,book,"Richards, Thomas：The Commodity Culture of Victorian England：Advertising and Spectacle, 1851-1914, 1991","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-011-CH09-CONSUMER\packets\B0367_Richards, Thomas：The Commodity Culture of Victorian England：Advertising and Spectacle, 1851-1914, 1991.md",78152,complete,complete,partial_clean_text_spot_check
BATCH-011-CH09-CONSUMER,B0142,book,"Elizabeth Shove, Matthew Watson, Martin Hand, Jack Ingram：《The Design of Everyday Life》，2007","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-011-CH09-CONSUMER\packets\B0142_Elizabeth Shove, Matthew Watson, Martin Hand, Jack Ingram：《The Design of Everyday Life》，2007.md",175231,complete,complete,partial_clean_text_spot_check
BATCH-011-CH09-CONSUMER,B0315,book,"Miller, Daniel：Material Culture and Mass Consumption, 1987","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-011-CH09-CONSUMER\packets\B0315_Miller, Daniel：Material Culture and Mass Consumption, 1987.md",789028,complete,complete,partial_clean_text_spot_check
BATCH-011-CH09-CONSUMER,B0180,book,Guy Julier：《The Culture of Design》，2000,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-011-CH09-CONSUMER\packets\B0180_Guy Julier：《The Culture of Design》，2000.md,193995,complete,complete,partial_clean_text_spot_check
BATCH-011-CH09-CONSUMER,B0120,book,Deyan Sudjic：《The Language of Things Understanding the World of Desirable Objects》，2008,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-011-CH09-CONSUMER\packets\B0120_Deyan Sudjic：《The Language of Things Understanding the World of Desirable Objects》，2008.md,167439,complete,complete,partial_clean_text_spot_check
BATCH-011-CH09-CONSUMER,B0441,book,Walker：《Sustainable by design explorations in theory and practice》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-011-CH09-CONSUMER\packets\B0441_Walker：《Sustainable by design explorations in theory and practice》.md,107196,complete,complete,partial_clean_text_spot_check
BATCH-011-CH09-CONSUMER,B0357,book,"Rachel Davies-Cooper, Mike Press：《The Design Agenda》，1995","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-011-CH09-CONSUMER\packets\B0357_Rachel Davies-Cooper, Mike Press：《The Design Agenda》，1995.md",101931,complete,complete,partial_clean_text_spot_check
BATCH-011-CH09-CONSUMER,B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-011-CH09-CONSUMER\packets\B0001_1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo.md,229290,complete,complete,partial_clean_text_spot_check
BATCH-011-CH09-CONSUMER,B0486,book,朱和平：《世界现代设计史》，2004,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-011-CH09-CONSUMER\packets\B0486_朱和平：《世界现代设计史》，2004.md,75854,complete,complete,partial_clean_text_spot_check
