batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-016-CH14-DIGITAL,B0274,book,Lev Manovich：《Software Takes Command》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-016-CH14-DIGITAL\packets\B0274_Lev Manovich：《Software Takes Command》.md,162470,complete,complete,partial_clean_text_spot_check
BATCH-016-CH14-DIGITAL,B0046,book,Bill Moggridge：《Designing Interactions》，2007,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-016-CH14-DIGITAL\packets\B0046_Bill Moggridge：《Designing Interactions》，2007.md,195568,complete,complete,partial_clean_text_spot_check
BATCH-016-CH14-DIGITAL,B0116,book,Designing Interactions,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-016-CH14-DIGITAL\packets\B0116_Designing Interactions.md,213778,complete,complete,partial_clean_text_spot_check
BATCH-016-CH14-DIGITAL,B0122,book,"Digital Design Theory_ Readings from the Field (Design -- Armstrong, Helen -- De","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-016-CH14-DIGITAL\packets\B0122_Digital Design Theory_ Readings from the Field (Design -- Armstrong, Helen -- De.md",245309,complete,complete,partial_clean_text_spot_check
BATCH-016-CH14-DIGITAL,B0054,book,"Bringing design to software (Terry Winograd, (ed.))","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-016-CH14-DIGITAL\packets\B0054_Bringing design to software (Terry Winograd, (ed.)).md",293344,complete,complete,partial_clean_text_spot_check
BATCH-016-CH14-DIGITAL,B0087,book,"Contextual Design_ Defining Customer-Centered Systems -- Beyer, Hugh, Holtzblatt","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-016-CH14-DIGITAL\packets\B0087_Contextual Design_ Defining Customer-Centered Systems -- Beyer, Hugh, Holtzblatt.md",199251,complete,complete,partial_clean_text_spot_check
BATCH-016-CH14-DIGITAL,B0011,book,"Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-016-CH14-DIGITAL\packets\B0011_Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》.md",182297,complete,complete,partial_clean_text_spot_check
BATCH-016-CH14-DIGITAL,B0294,book,"Mark Stickdorn, Jakob Schneider：《This Is Service Design Thinking》，2010","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-016-CH14-DIGITAL\packets\B0294_Mark Stickdorn, Jakob Schneider：《This Is Service Design Thinking》，2010.md",239863,complete,complete,partial_clean_text_spot_check
BATCH-016-CH14-DIGITAL,B0096,book,Dan Saffer：《Designing for Interaction Creating Innovative Applications》，2009,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-016-CH14-DIGITAL\packets\B0096_Dan Saffer：《Designing for Interaction Creating Innovative Applications》，2009.md,201246,complete,complete,partial_clean_text_spot_check
BATCH-016-CH14-DIGITAL,B0184,book,"Helen Sharp, Jenny Preece, Yvonne Rogers：《Interaction Design Beyond Human-Computer Interaction》，2019","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-016-CH14-DIGITAL\packets\B0184_Helen Sharp, Jenny Preece, Yvonne Rogers：《Interaction Design Beyond Human-Computer Interaction》，2019.md",166374,complete,complete,partial_clean_text_spot_check
BATCH-016-CH14-DIGITAL,B0280,book,Löwgren：《Thoughtful interaction design a design perspective on information technology》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-016-CH14-DIGITAL\packets\B0280_Löwgren：《Thoughtful interaction design a design perspective on information technology》.md,200369,complete,complete,partial_clean_text_spot_check
BATCH-016-CH14-DIGITAL,B0385,book,Safiya Umoja Noble：《Algorithms of Oppression How Search Engines Reinforce Racism》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-016-CH14-DIGITAL\packets\B0385_Safiya Umoja Noble：《Algorithms of Oppression How Search Engines Reinforce Racism》.md,82273,complete,complete,partial_clean_text_spot_check
