batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-018-CH16-AI,B0041,book,Ben Shneiderman：《Human-Centered AI》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-018-CH16-AI\packets\B0041_Ben Shneiderman：《Human-Centered AI》.md,248936,complete,complete,partial_clean_text_spot_check
BATCH-018-CH16-AI,B0125,book,Don Norman：《The Design of Future Things》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-018-CH16-AI\packets\B0125_Don Norman：《The Design of Future Things》.md,198452,complete,complete,partial_clean_text_spot_check
BATCH-018-CH16-AI,B0191,book,Holmes：《Mismatch How Inclusion Shapes Design》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-018-CH16-AI\packets\B0191_Holmes：《Mismatch How Inclusion Shapes Design》.md,188683,complete,complete,partial_clean_text_spot_check
BATCH-018-CH16-AI,P0046,paper,"Marian Mazzone, Ahmed Elgammal：《Art, Creativity, and the Potential of Artificial Intelligence》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-018-CH16-AI\packets\P0046_Marian Mazzone, Ahmed Elgammal：《Art, Creativity, and the Potential of Artificial Intelligence》.md",66999,complete,complete,partial_clean_text_spot_check
BATCH-018-CH16-AI,B0128,book,Donald A. Schön：《The Reflective Practitioner How Professionals Think In Action》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-018-CH16-AI\packets\B0128_Donald A. Schön：《The Reflective Practitioner How Professionals Think In Action》.md,790519,complete,complete,partial_clean_text_spot_check
BATCH-018-CH16-AI,B0129,book,Donald A_ Schon：《The Reflective Practitioner，1983》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-018-CH16-AI\packets\B0129_Donald A_ Schon：《The Reflective Practitioner，1983》.md,176865,complete,complete,partial_clean_text_spot_check
BATCH-018-CH16-AI,B0287,book,"Margolin, Victor, The Politics of the Artificial, 2002","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-018-CH16-AI\packets\B0287_Margolin, Victor, The Politics of the Artificial, 2002.md",172491,complete,complete,partial_clean_text_spot_check
BATCH-018-CH16-AI,P0067,paper,The Politics of the Artificial _ Essays on Design and Design -- Victor Margolin,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-018-CH16-AI\packets\P0067_The Politics of the Artificial _ Essays on Design and Design -- Victor Margolin.md,105428,complete,complete,partial_clean_text_spot_check
BATCH-018-CH16-AI,B0423,book,The Sciences：《of the Artificial Simon 3rd ed》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-018-CH16-AI\packets\B0423_The Sciences：《of the Artificial Simon 3rd ed》.md,103361,complete,complete,partial_clean_text_spot_check
BATCH-018-CH16-AI,B0397,book,"Simon, Herbert A.：The Sciences of the Artificial, 1969","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-018-CH16-AI\packets\B0397_Simon, Herbert A.：The Sciences of the Artificial, 1969.md",89355,complete,complete,partial_clean_text_spot_check
BATCH-018-CH16-AI,B0413,book,"Terry Winograd, Fernando Flores：《Understanding Computers and Cognition》，1986","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-018-CH16-AI\packets\B0413_Terry Winograd, Fernando Flores：《Understanding Computers and Cognition》，1986.md",105221,complete,complete,partial_clean_text_spot_check
BATCH-018-CH16-AI,B0119,book,"Deyan Sudjic：《B is for Bauhaus, Y is for YouTube Designing the Modern World from A to Z》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-018-CH16-AI\packets\B0119_Deyan Sudjic：《B is for Bauhaus, Y is for YouTube Designing the Modern World from A to Z》.md",189786,complete,complete,partial_clean_text_spot_check
