batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-021-CH16-DEEP,B0279,book,Lucy Suchman：《Plans and Situated Actions The Problem of Human-Machine Communication》，1987,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-021-CH16-DEEP\packets\B0279_Lucy Suchman：《Plans and Situated Actions The Problem of Human-Machine Communication》，1987.md,167737,complete,complete,partial_clean_text_spot_check
BATCH-021-CH16-DEEP,B0016,book,Alison Black：《Information Design. Research and practice》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-021-CH16-DEEP\packets\B0016_Alison Black：《Information Design. Research and practice》.md,165452,complete,complete,partial_clean_text_spot_check
BATCH-021-CH16-DEEP,B0212,book,Joel Mokyr：《The lever of riches - technological creativity and economic progress (1990)》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-021-CH16-DEEP\packets\B0212_Joel Mokyr：《The lever of riches - technological creativity and economic progress (1990)》.md,179009,complete,complete,partial_clean_text_spot_check
BATCH-021-CH16-DEEP,B0085,book,Cole Nussbaumer Knaflic：《Storytelling with Data》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-021-CH16-DEEP\packets\B0085_Cole Nussbaumer Knaflic：《Storytelling with Data》.md,182440,complete,complete,partial_clean_text_spot_check
BATCH-021-CH16-DEEP,B0123,book,Digital Materialities ： Design and Anthropology -- Sarah Pink; Elisenda Ardèvol;,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-021-CH16-DEEP\packets\B0123_Digital Materialities ： Design and Anthropology -- Sarah Pink; Elisenda Ardèvol;.md,228632,complete,complete,partial_clean_text_spot_check
BATCH-021-CH16-DEEP,B0062,book,Cairo：《The functional art an introduction to information graphics and visualization》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-021-CH16-DEEP\packets\B0062_Cairo：《The functional art an introduction to information graphics and visualization》.md,198163,complete,complete,partial_clean_text_spot_check
BATCH-021-CH16-DEEP,B0019,book,Almquist：《Affording Meaning Design-Oriented Research from the Humanities and Social Sciences》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-021-CH16-DEEP\packets\B0019_Almquist：《Affording Meaning Design-Oriented Research from the Humanities and Social Sciences》.md,135411,complete,complete,partial_clean_text_spot_check
BATCH-021-CH16-DEEP,B0103,book,Dennis P. Doordan：《Design History An Anthology》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-021-CH16-DEEP\packets\B0103_Dennis P. Doordan：《Design History An Anthology》.md,144350,complete,complete,partial_clean_text_spot_check
BATCH-021-CH16-DEEP,B0083,book,"Clark, Hazel; Brody, David (eds.), Design Studies： A Reader, 2009","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-021-CH16-DEEP\packets\B0083_Clark, Hazel; Brody, David (eds.), Design Studies： A Reader, 2009.md",189764,complete,complete,partial_clean_text_spot_check
BATCH-021-CH16-DEEP,B0152,book,"Fallan, Kjetil, Design History： Understanding Theory and Method, 2010","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-021-CH16-DEEP\packets\B0152_Fallan, Kjetil, Design History： Understanding Theory and Method, 2010.md",82087,complete,complete,partial_clean_text_spot_check
BATCH-021-CH16-DEEP,B0113,book,"Design Research： Methods and Perspectives (The MIT Press) -- Laurel, Brenda -- C","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-021-CH16-DEEP\packets\B0113_Design Research： Methods and Perspectives (The MIT Press) -- Laurel, Brenda -- C.md",267293,complete,complete,partial_clean_text_spot_check
BATCH-021-CH16-DEEP,B0092,book,Criticality：《and Its Discontents》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-021-CH16-DEEP\packets\B0092_Criticality：《and Its Discontents》.md,195191,complete,complete,partial_clean_text_spot_check
