batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-023-CH13-CH15-GLOBAL,B0210,book,"Joan Greenbaum, Morten Kyng (eds.)：《Design at Work Cooperative Design of Computer Systems》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-023-CH13-CH15-GLOBAL\packets\B0210_Joan Greenbaum, Morten Kyng (eds.)：《Design at Work Cooperative Design of Computer Systems》.md",153655,complete,complete,partial_clean_text_spot_check
BATCH-023-CH13-CH15-GLOBAL,B0359,book,Ratto：《Critical Making Conceptual and Material Studies in Technology and Social Life》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-023-CH13-CH15-GLOBAL\packets\B0359_Ratto：《Critical Making Conceptual and Material Studies in Technology and Social Life》.md,107058,complete,complete,partial_clean_text_spot_check
BATCH-023-CH13-CH15-GLOBAL,P0045,paper,"Madina Tlostanova, Redi Koobak：《Border thinking and disidentification Postcolonial and postsocialist feminist dialogues》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-023-CH13-CH15-GLOBAL\packets\P0045_Madina Tlostanova, Redi Koobak：《Border thinking and disidentification Postcolonial and postsocialist feminist dialogues》.md",86160,complete,complete,partial_clean_text_spot_check
BATCH-023-CH13-CH15-GLOBAL,P0034,paper,Horst W. J. Rittel; Melvin M. Webber：《Dilemmas in a General Theory of Planning》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-023-CH13-CH15-GLOBAL\packets\P0034_Horst W. J. Rittel; Melvin M. Webber：《Dilemmas in a General Theory of Planning》.md,67232,complete,complete,partial_clean_text_spot_check
BATCH-023-CH13-CH15-GLOBAL,B0028,book,"Appadurai, Arjun (ed.)：The Social Life of Things：Commodities in Cultural Perspective, 1986","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-023-CH13-CH15-GLOBAL\packets\B0028_Appadurai, Arjun (ed.)：The Social Life of Things：Commodities in Cultural Perspective, 1986.md",165301,complete,complete,partial_clean_text_spot_check
BATCH-023-CH13-CH15-GLOBAL,B0424,book,Theory Culture：《and Society 23 2 3 Problematizing Global Knowledge，2006》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-023-CH13-CH15-GLOBAL\packets\B0424_Theory Culture：《and Society 23 2 3 Problematizing Global Knowledge，2006》.md,117729,complete,complete,partial_clean_text_spot_check
BATCH-023-CH13-CH15-GLOBAL,B0089,book,Craig Clunas：《Superfluous Things Material Culture and Social Status in Early Modern China》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-023-CH13-CH15-GLOBAL\packets\B0089_Craig Clunas：《Superfluous Things Material Culture and Social Status in Early Modern China》.md,168274,complete,complete,partial_clean_text_spot_check
BATCH-023-CH13-CH15-GLOBAL,P0047,paper,"Michael S. Kimmel, Eileen Boris, Alan Crawford：《The Arts and Crafts Movement Handmade Socialism or Elite Consumerism Art and Labor Ruskin, Morris, and the Craftsman Ideal…》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-023-CH13-CH15-GLOBAL\packets\P0047_Michael S. Kimmel, Eileen Boris, Alan Crawford：《The Arts and Crafts Movement Handmade Socialism or Elite Consumerism Art and Labor Ruskin, Morris, and the Craftsman Ideal…》.md",71351,complete,complete,partial_clean_text_spot_check
BATCH-023-CH13-CH15-GLOBAL,B0109,book,Design Fiction_ A Method Toolbox for Design Research in a -- Martin Wiedmer; Sim,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-023-CH13-CH15-GLOBAL\packets\B0109_Design Fiction_ A Method Toolbox for Design Research in a -- Martin Wiedmer; Sim.md,190677,complete,complete,partial_clean_text_spot_check
BATCH-023-CH13-CH15-GLOBAL,P0030,paper,"Foucault, Michel：Of Other Spaces：Utopias and Heterotopias, 1967","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-023-CH13-CH15-GLOBAL\packets\P0030_Foucault, Michel：Of Other Spaces：Utopias and Heterotopias, 1967.md",56424,complete,complete,partial_clean_text_spot_check
BATCH-023-CH13-CH15-GLOBAL,P0031,paper,"Frampton, Kenneth：Towards a Critical Regionalism：Six Points for an Architecture of Resistance, 1983","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-023-CH13-CH15-GLOBAL\packets\P0031_Frampton, Kenneth：Towards a Critical Regionalism：Six Points for an Architecture of Resistance, 1983.md",84332,complete,complete,partial_clean_text_spot_check
BATCH-023-CH13-CH15-GLOBAL,B0264,book,Klaus Krippendorff：《The Semantic Turn A New Foundation For Design》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-023-CH13-CH15-GLOBAL\packets\B0264_Klaus Krippendorff：《The Semantic Turn A New Foundation For Design》.md,1013520,complete,complete,partial_clean_text_spot_check
