batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-025-CH16-EDU-VISUAL,B0200,book,Jan Borchers：《A Pattern Approach to Interaction Design》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-025-CH16-EDU-VISUAL\packets\B0200_Jan Borchers：《A Pattern Approach to Interaction Design》.md,251675,complete,complete,partial_clean_text_spot_check
BATCH-025-CH16-EDU-VISUAL,B0117,book,"Designing Mobile Interfaces _ Patterns for Interaction -- Hoober, Steven; Berkma","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-025-CH16-EDU-VISUAL\packets\B0117_Designing Mobile Interfaces _ Patterns for Interaction -- Hoober, Steven; Berkma.md",215041,complete,complete,partial_clean_text_spot_check
BATCH-025-CH16-EDU-VISUAL,P0024,paper,"Designing Visual Interfaces -- Mullet, Kevin; Sano, Darrell -- ACM SIGCHI Bullet","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-025-CH16-EDU-VISUAL\packets\P0024_Designing Visual Interfaces -- Mullet, Kevin; Sano, Darrell -- ACM SIGCHI Bullet.md",65321,complete,complete,partial_clean_text_spot_check
BATCH-025-CH16-EDU-VISUAL,P0035,paper,How HCI interprets the probes -- Kirsten Boehner; Janet Vertesi; Phoebe Sengers;,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-025-CH16-EDU-VISUAL\packets\P0035_How HCI interprets the probes -- Kirsten Boehner; Janet Vertesi; Phoebe Sengers;.md,81081,complete,complete,partial_clean_text_spot_check
BATCH-025-CH16-EDU-VISUAL,P0026,paper,"Dorst, Kees：The Core of Design Thinking and Its Application, 2011","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-025-CH16-EDU-VISUAL\packets\P0026_Dorst, Kees：The Core of Design Thinking and Its Application, 2011.md",70121,complete,complete,partial_clean_text_spot_check
BATCH-025-CH16-EDU-VISUAL,P0043,paper,Lucy Kimbell：《Rethinking Design Thinking： Part I》，2011,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-025-CH16-EDU-VISUAL\packets\P0043_Lucy Kimbell：《Rethinking Design Thinking： Part I》，2011.md,97640,complete,complete,partial_clean_text_spot_check
BATCH-025-CH16-EDU-VISUAL,B0324,book,Nigel Cross：《Design Thinking Understanding How Designers Think and Work》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-025-CH16-EDU-VISUAL\packets\B0324_Nigel Cross：《Design Thinking Understanding How Designers Think and Work》.md,160616,complete,complete,partial_clean_text_spot_check
BATCH-025-CH16-EDU-VISUAL,P0018,paper,"Cross, Nigel：Designerly Ways of Knowing, 2006","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-025-CH16-EDU-VISUAL\packets\P0018_Cross, Nigel：Designerly Ways of Knowing, 2006.md",101103,complete,complete,partial_clean_text_spot_check
BATCH-025-CH16-EDU-VISUAL,B0404,book,Stephen J. Eskilson：《Graphic Design A New History》，2007,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-025-CH16-EDU-VISUAL\packets\B0404_Stephen J. Eskilson：《Graphic Design A New History》，2007.md,181509,complete,complete,partial_clean_text_spot_check
BATCH-025-CH16-EDU-VISUAL,B0407,book,"Steven Heller, Georgette Ballance：《Graphic Design History》，2001","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-025-CH16-EDU-VISUAL\packets\B0407_Steven Heller, Georgette Ballance：《Graphic Design History》，2001.md",109268,complete,complete,partial_clean_text_spot_check
BATCH-025-CH16-EDU-VISUAL,B0369,book,Robert Bringhurst：《The Elements of Typographic Style》，1992,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-025-CH16-EDU-VISUAL\packets\B0369_Robert Bringhurst：《The Elements of Typographic Style》，1992.md,83389,complete,complete,partial_clean_text_spot_check
BATCH-025-CH16-EDU-VISUAL,B0237,book,Josef Albers：《Interaction of Color》，1963,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-025-CH16-EDU-VISUAL\packets\B0237_Josef Albers：《Interaction of Color》，1963.md,190268,complete,complete,partial_clean_text_spot_check
