batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-028-RESEARCH-VISUAL,P0011,paper,"Buchanan, Richard：Design Research and the New Learning, 2001","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-028-RESEARCH-VISUAL\packets\P0011_Buchanan, Richard：Design Research and the New Learning, 2001.md",83054,complete,complete,partial_clean_text_spot_check
BATCH-028-RESEARCH-VISUAL,P0042,paper,Lucy Kimbell：《Rethinking Design Thinking： Part II》，2012,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-028-RESEARCH-VISUAL\packets\P0042_Lucy Kimbell：《Rethinking Design Thinking： Part II》，2012.md,79226,complete,complete,partial_clean_text_spot_check
BATCH-028-RESEARCH-VISUAL,B0438,book,"Walker, John A., Design History and the History of Design, 1989","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-028-RESEARCH-VISUAL\packets\B0438_Walker, John A., Design History and the History of Design, 1989.md",125886,complete,complete,partial_clean_text_spot_check
BATCH-028-RESEARCH-VISUAL,B0391,book,"SEAGO, ALEX, AND ANTHONY DUNNE. New Methods in Art and Design Research The Objec","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-028-RESEARCH-VISUAL\packets\B0391_SEAGO, ALEX, AND ANTHONY DUNNE. New Methods in Art and Design Research The Objec.md",60475,complete,complete,partial_clean_text_spot_check
BATCH-028-RESEARCH-VISUAL,P0037,paper,HUNT J. Prototyping the social Temporality and speculative futures at the inters,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-028-RESEARCH-VISUAL\packets\P0037_HUNT J. Prototyping the social Temporality and speculative futures at the inters.md,57106,complete,complete,partial_clean_text_spot_check
BATCH-028-RESEARCH-VISUAL,P0049,paper,"Nigel Thrift：《Non-Representational Theory： Space, Politics, Affect》，2008","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-028-RESEARCH-VISUAL\packets\P0049_Nigel Thrift：《Non-Representational Theory： Space, Politics, Affect》，2008.md",113265,complete,complete,partial_clean_text_spot_check
BATCH-028-RESEARCH-VISUAL,B0311,book,"Mihaly Csikszentmihalyi, Eugene Halton：《The Meaning of Things Domestic Symbols and the Self》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-028-RESEARCH-VISUAL\packets\B0311_Mihaly Csikszentmihalyi, Eugene Halton：《The Meaning of Things Domestic Symbols and the Self》.md",141513,complete,complete,partial_clean_text_spot_check
BATCH-028-RESEARCH-VISUAL,B0171,book,"Gombrich, E. H. (Ernst Hans)：《The sense of order a study in the psychology of decorative art》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-028-RESEARCH-VISUAL\packets\B0171_Gombrich, E. H. (Ernst Hans)：《The sense of order a study in the psychology of decorative art》.md",1456189,complete,complete,partial_clean_text_spot_check
BATCH-028-RESEARCH-VISUAL,B0185,book,Heller：《Paul Rand》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-028-RESEARCH-VISUAL\packets\B0185_Heller：《Paul Rand》.md,185258,complete,complete,partial_clean_text_spot_check
BATCH-028-RESEARCH-VISUAL,B0462,book,Wozencroft：《The graphic language of Neville Brody》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-028-RESEARCH-VISUAL\packets\B0462_Wozencroft：《The graphic language of Neville Brody》.md,99014,complete,complete,partial_clean_text_spot_check
BATCH-028-RESEARCH-VISUAL,B0355,book,"R. Roger Remington：《American modernism graphic design, 1920 to 1960》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-028-RESEARCH-VISUAL\packets\B0355_R. Roger Remington：《American modernism graphic design, 1920 to 1960》.md",108191,complete,complete,partial_clean_text_spot_check
BATCH-028-RESEARCH-VISUAL,B0412,book,"Teal Triggs：《Graphic Design History Past, Present, and Future》，2011","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-028-RESEARCH-VISUAL\packets\B0412_Teal Triggs：《Graphic Design History Past, Present, and Future》，2011.md",84135,complete,complete,partial_clean_text_spot_check
