batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-031-REMAINING2,B0223,book,"John F. Pile, Judith Gura：《A History of Interior Design》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-031-REMAINING2\packets\B0223_John F. Pile, Judith Gura：《A History of Interior Design》.md",1531286,complete,pending,not_started
BATCH-031-REMAINING2,B0433,book,Victor Margolin：《World History of Design World War I to World War II》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-031-REMAINING2\packets\B0433_Victor Margolin：《World History of Design World War I to World War II》.md,113387,complete,pending,not_started
BATCH-031-REMAINING2,B0095,book,"Dabrowski, Magdalena (ed.)：Revolution：Russian Avant-Garde, 1912-1930, 1978","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-031-REMAINING2\packets\B0095_Dabrowski, Magdalena (ed.)：Revolution：Russian Avant-Garde, 1912-1930, 1978.md",194439,complete,pending,not_started
BATCH-031-REMAINING2,B0088,book,"Cooke, Catherine：Architectural Drawings of the Russian Avant-Garde, 1990","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-031-REMAINING2\packets\B0088_Cooke, Catherine：Architectural Drawings of the Russian Avant-Garde, 1990.md",252517,complete,pending,not_started
BATCH-031-REMAINING2,B0271,book,"Lawson, Bryan：How Designers Think：The Design Process Demystified, 2005","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-031-REMAINING2\packets\B0271_Lawson, Bryan：How Designers Think：The Design Process Demystified, 2005.md",169802,complete,pending,not_started
BATCH-031-REMAINING2,B0308,book,Michael Polanyi：《The tacit dimension》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-031-REMAINING2\packets\B0308_Michael Polanyi：《The tacit dimension》.md,133204,complete,pending,not_started
BATCH-031-REMAINING2,B0430,book,Vance Packard：《The Hidden Persuaders》，1957,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-031-REMAINING2\packets\B0430_Vance Packard：《The Hidden Persuaders》，1957.md,121985,complete,pending,not_started
BATCH-031-REMAINING2,B0335,book,Pat Kirkham：《Charles And Ray Eames Designers of the Twentieth Century》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-031-REMAINING2\packets\B0335_Pat Kirkham：《Charles And Ray Eames Designers of the Twentieth Century》.md,904031,complete,pending,not_started
BATCH-031-REMAINING2,B0354,book,Pioneers Of Modern Design -- Nikolaus Pevsner -- 79d1b31976f272a671ce2a3b7a2db14,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-031-REMAINING2\packets\B0354_Pioneers Of Modern Design -- Nikolaus Pevsner -- 79d1b31976f272a671ce2a3b7a2db14.md,98429,complete,pending,not_started
BATCH-031-REMAINING2,B0004,book,"Adam, Peter：Eileen Gray：Architect, Designer, 1987","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-031-REMAINING2\packets\B0004_Adam, Peter：Eileen Gray：Architect, Designer, 1987.md",198343,complete,pending,not_started
BATCH-031-REMAINING2,P0044,paper,M. J. Golec：《Cold War Modern Design 1945-1970 Fear and Fashion in the Cold War Posters of the Cold War》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-031-REMAINING2\packets\P0044_M. J. Golec：《Cold War Modern Design 1945-1970 Fear and Fashion in the Cold War Posters of the Cold War》.md,64178,complete,pending,not_started
BATCH-031-REMAINING2,P0016,paper,"Capkova, Helena; et al.：History of Design：Decorative Arts and Material Culture, 1400-2000, 2015","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-031-REMAINING2\packets\P0016_Capkova, Helena; et al.：History of Design：Decorative Arts and Material Culture, 1400-2000, 2015.md",51417,complete,pending,not_started
