batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-032-REMAINING,B0286,book,"Margolin, Victor, Design in History, 2009","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-032-REMAINING\packets\B0286_Margolin, Victor, Design in History, 2009.md",204867,complete,complete,partial_clean_text_spot_check
BATCH-032-REMAINING,B0362,book,Reyner Banham：《A Critic Writes Selected Essays by Reyner Banham (Centennial Books)》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-032-REMAINING\packets\B0362_Reyner Banham：《A Critic Writes Selected Essays by Reyner Banham (Centennial Books)》.md,111928,complete,complete,partial_clean_text_spot_check
BATCH-032-REMAINING,B0398,book,"Sparke, Penny, An Introduction to Design and Culture, 1986","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-032-REMAINING\packets\B0398_Sparke, Penny, An Introduction to Design and Culture, 1986.md",138649,complete,complete,partial_clean_text_spot_check
BATCH-032-REMAINING,B0400,book,"Sparke, Penny：《An introduction to design and culture 1900 to the present》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-032-REMAINING\packets\B0400_Sparke, Penny：《An introduction to design and culture 1900 to the present》.md",80414,complete,complete,partial_clean_text_spot_check
BATCH-032-REMAINING,B0312,book,Mihaly Csikszentmihalyi：《Creativity》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-032-REMAINING\packets\B0312_Mihaly Csikszentmihalyi：《Creativity》.md,988752,complete,complete,partial_clean_text_spot_check
BATCH-032-REMAINING,B0386,book,Sanders：《Co-creation and the new landscapes of design》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-032-REMAINING\packets\B0386_Sanders：《Co-creation and the new landscapes of design》.md,63220,complete,complete,partial_clean_text_spot_check
BATCH-032-REMAINING,B0244,book,"K. Anders Ericsson, Herbert A. Simon：《Protocol Analysis Verbal Reports as Data》，1984","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-032-REMAINING\packets\B0244_K. Anders Ericsson, Herbert A. Simon：《Protocol Analysis Verbal Reports as Data》，1984.md",164580,complete,complete,partial_clean_text_spot_check
BATCH-032-REMAINING,B0416,book,"The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-032-REMAINING\packets\B0416_The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar.md",168020,complete,complete,partial_clean_text_spot_check
BATCH-032-REMAINING,B0422,book,"The printed image and the transformation of popular culture, 1790-1860 (Anderson","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-032-REMAINING\packets\B0422_The printed image and the transformation of popular culture, 1790-1860 (Anderson.md",108987,complete,complete,partial_clean_text_spot_check
BATCH-032-REMAINING,B0456,book,William S. Peterson：《A bibliography of the Kelmscott Press》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-032-REMAINING\packets\B0456_William S. Peterson：《A bibliography of the Kelmscott Press》.md,117307,complete,complete,partial_clean_text_spot_check
BATCH-032-REMAINING,P0010,paper,Bruno Latour (as Jim Johnson)：《Mixing Humans and Nonhumans Together： The Sociology of a Door-Closer》，1988,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-032-REMAINING\packets\P0010_Bruno Latour (as Jim Johnson)：《Mixing Humans and Nonhumans Together： The Sociology of a Door-Closer》，1988.md,69466,complete,complete,partial_clean_text_spot_check
BATCH-032-REMAINING,P0020,paper,"Design and the Construction of Publics -- DiSalvo, Carl -- Design Issues, #1, 25","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-032-REMAINING\packets\P0020_Design and the Construction of Publics -- DiSalvo, Carl -- Design Issues, #1, 25.md",85502,complete,complete,partial_clean_text_spot_check
