B0008 | Adolf Loos：《Ornament and Crime》，2019
B0060 | Buddensieg, Tilmann; Rogge, Henning：《Industriekultur Peter Behrens and the AEG, 1907-1914》
B0064 | Campbell, Joan：《The German Werkbund the politics of reform in the applied arts》
B0081 | Christopher Burke：《Isotype Design and Contexts, 1925-1971》
B0158 | Frank Whitford：《Bauhaus》
B0182 | Hans M. Wingler：《The Bauhaus Weimar, Dessau, Berlin, Chicago》，1969
B0216 | Johannes Itten：《Design and Form The Basic Course at the Bauhaus and Later》
B0247 | Kallir, Jane：Viennese Design and the Wiener Werkstatte, 1986
B0282 | Magdalena Droste：《The Bauhaus 1919-1933》，1990
B0454 | Wick：《Teaching at the Bauhaus》
B0464 | Éva Forgács：《The Bauhaus Idea and Bauhaus Politics》
B0492 | 杭间, 靳埭强, 胡恩威：《包豪斯道路：历史、遗泽、世界与中国》，2010
B0517 | 靳埭强：《中国现代设计与包豪斯＝BAUHAUS CHINESE MODERN DESIGN》
### B0048 | Blotkamp, Carel; et al.：De Stijl：The Formative Years, 1917-1922, 1986
### B0342 | Paul Overy：《De Stijl》，1991
